# L1 = 1, c = 0.5, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 56, 2.70143e-07, 5.088e-71, 34852.6, 1.46738e+26, 3.25514e-05, 0.000173054
1e-07, 57, 2.90431e-07, 2.78874e-72, 31619.7, 1.57504e+26, 3.41007e-05, 0.00016891
1e-07, 58, 3.0968e-07, 1.52599e-73, 28735.3, 1.68851e+26, 3.56953e-05, 0.000195473
1e-07, 59, 3.30808e-07, 8.33689e-75, 26156.8, 1.808e+26, 3.73356e-05, 0.000190508
1e-07, 60, 3.5333e-07, 4.54763e-76, 23847.2, 1.93373e+26, 3.90223e-05, 0.000219895
1e-07, 61, 3.77573e-07, 2.47696e-77, 21774.9, 2.06591e+26, 4.07558e-05, 0.000214018
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 63, 4.25664e-07, 7.31684e-80, 18234.7, 2.35046e+26, 4.43652e-05, 0.000239537
1e-07, 64, 4.52422e-07, 3.96857e-81, 16721.7, 2.50329e+26, 4.62422e-05, 0.000275161
1e-07, 65, 4.7976e-07, 2.14968e-82, 15354.9, 2.66345e+26, 4.81681e-05, 0.000267166
1e-07, 66, 5.08966e-07, 1.16295e-83, 14118.2, 2.83118e+26, 5.01433e-05, 0.000306217
1e-07, 67, 5.38704e-07, 6.28363e-85, 12997.5, 3.0067e+26, 5.21683e-05, 0.000297006
1e-07, 68, 5.69988e-07, 3.39109e-86, 11980.4, 3.19027e+26, 5.42437e-05, 0.000339697
1e-07, 69, 6.02517e-07, 1.82795e-87, 11056.1, 3.38211e+26, 5.637e-05, 0.000329159
1e-07, 70, 6.36379e-07, 9.84226e-89, 10214.9, 3.58248e+26, 5.85476e-05, 0.000375711
1e-07, 71, 6.71564e-07, 5.29358e-90, 9448.24, 3.79162e+26, 6.0777e-05, 0.00036373
1e-07, 72, 7.08412e-07, 2.84406e-91, 8748.7, 4.00979e+26, 6.30587e-05, 0.000414369
1e-07, 73, 7.49373e-07, 1.52643e-92, 8109.55, 4.23724e+26, 6.53931e-05, 0.000400824
1e-07, 74, 7.85392e-07, 8.18419e-94, 7524.85, 4.47423e+26, 6.77809e-05, 0.000455783
1e-07, 75, 8.26585e-07, 4.38375e-95, 6989.33, 4.72103e+26, 7.02224e-05, 0.000440548
1e-07, 76, 8.68356e-07, 2.34585e-96, 6498.27, 4.9779e+26, 7.27181e-05, 0.000500067
1e-07, 77, 9.12137e-07, 1.25415e-97, 6047.47, 5.24511e+26, 7.52686e-05, 0.000483012
1e-07, 78, 9.57407e-07, 6.69886e-99, 5633.17, 5.52293e+26, 7.78742e-05, 0.000547334
1e-07, 79, 1.0085e-06, 3.57493e-100, 5251.99, 5.81165e+26, 8.05355e-05, 0.000528323
1e-07, 80, 1.05578e-06, 1.90616e-101, 4900.93, 6.11155e+26, 8.32529e-05, 0.000597702
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 82, 1.15645e-06, 5.40569e-104, 4278.56, 6.74601e+26, 8.88579e-05, 0.000651286
1e-07, 83, 1.20826e-06, 2.8752e-105, 4002.62, 7.08115e+26, 9.17464e-05, 0.000627937
1e-07, 84, 1.2625e-06, 1.52808e-106, 3747.47, 7.42863e+26, 9.46929e-05, 0.000708206
1e-07, 85, 1.31967e-06, 8.11503e-108, 3511.32, 7.78874e+26, 9.76979e-05, 0.000682465
1e-07, 86, 1.37852e-06, 4.30635e-109, 3292.55, 8.16179e+26, 0.000100762, 0.000768581
1e-07, 87, 1.43877e-06, 2.28355e-110, 3089.72, 8.54808e+26, 0.000103885, 0.000740293
1e-07, 88, 1.50079e-06, 1.21005e-111, 2901.48, 8.94792e+26, 0.000107068, 0.000832532
1e-07, 89, 1.56383e-06, 6.40751e-113, 2726.65, 9.36163e+26, 0.000110311, 0.000801537
1e-07, 90, 1.62944e-06, 3.39063e-114, 2564.14, 9.78952e+26, 0.000113615, 0.00090018
1e-07, 91, 1.69734e-06, 1.793e-115, 2412.95, 1.02319e+27, 0.00011698, 0.000866313
1e-07, 92, 1.77404e-06, 9.4754e-117, 2272.18, 1.06891e+27, 0.000120407, 0.000971649
1e-07, 93, 1.84185e-06, 5.00422e-118, 2141.01, 1.11615e+27, 0.000123896, 0.000934741
1e-07, 94, 1.91923e-06, 2.64121e-119, 2018.7, 1.16494e+27, 0.000127447, 0.00104706
1e-07, 95, 1.9911e-06, 1.39317e-120, 1904.57, 1.21531e+27, 0.000131061, 0.00100694
1e-07, 96, 2.06673e-06, 7.34419e-122, 1797.98, 1.26729e+27, 0.000134739, 0.00112655
1e-07, 97, 2.14581e-06, 3.86927e-123, 1698.37, 1.32093e+27, 0.00013848, 0.00108303
1e-07, 98, 2.22689e-06, 2.03734e-124, 1605.21, 1.37624e+27, 0.000142286, 0.00121023
1e-07, 99, 2.31016e-06, 1.07214e-125, 1518.04, 1.43328e+27, 0.000146156, 0.00116313
1e-07, 100, 2.39934e-06, 5.63899e-127, 1436.4, 1.49208e+27, 0.000150092, 0.00129823
1e-07, 101, 2.48246e-06, 2.96425e-128, 1359.91, 1.55266e+27, 0.000154093, 0.00124736
1e-07, 102, 2.57419e-06, 1.55739e-129, 1288.18, 1.61507e+27, 0.00015816, 0.00139069
1e-07, 103, 2.66734e-06, 8.17814e-131, 1220.88, 1.67935e+27, 0.000162294, 0.00133586
1e-07, 104, 2.76087e-06, 4.29229e-132, 1157.69, 1.74552e+27, 0.000166494, 0.00148772
1e-07, 105, 2.85695e-06, 2.25167e-133, 1098.34, 1.81363e+27, 0.000170762, 0.00142874
1.2045e-07, 5, 1.67402e-11, 6.86616e+13, 1.70655e+10, 5.33639e+21, 7.27884e-08, 5.70008e-08
1.2045e-07, 6, 3.5986e-11, 6.81e+11, 6.26069e+09, 1.10655e+22, 1.12206e-07, 1.071e-07
1.2045e-07, 7, 6.86579e-11, 6.39928e+09, 2.68173e+09, 2.05003e+22, 1.62581e-07, 1.55773e-07
1.2045e-07, 8, 1.20194e-10, 5.77438e+07, 1.28665e+09, 3.49725e+22, 2.24945e-07, 2.56568e-07
1.2045e-07, 9, 1.97025e-10, 504537, 6.73164e+08, 5.60192e+22, 3.0029e-07, 3.37548e-07
1.2045e-07, 10, 3.06392e-10, 4296.33, 3.77098e+08, 8.53822e+22, 3.89572e-07, 5.15205e-07
1.2045e-07, 11, 4.55844e-10, 35.8121, 2.23252e+08, 1.25008e+23, 4.93714e-07, 6.36173e-07
1.2045e-07, 12, 6.56939e-10, 0.293303, 1.38343e+08, 1.77048e+23, 6.13613e-07, 9.21804e-07
1.2045e-07, 13, 9.16353e-10, 0.0023665, 8.90772e+07, 2.4386e+23, 7.50139e-07, 1.08901e-06
1.2045e-07, 14, 1.24628e-09, 1.87948e-05, 5.92585e+07, 3.28004e+23, 9.04142e-07, 1.51886e-06
1.2045e-07, 15, 1.66033e-09, 1.38569e-07, 4.05465e+07, 4.32247e+23, 1.07645e-06, 1.73692e-06
1.2045e-07, 16, 2.17096e-09, 1.07281e-09, 2.84312e+07, 5.59561e+23, 1.26788e-06, 2.35243e-06
1.2045e-07, 17, 2.79063e-09, 8.23553e-12, 2.03698e+07, 7.1312e+23, 1.47921e-06, 2.62407e-06
1.2045e-07, 18, 3.53685e-09, 6.27536e-14, 1.4875e+07, 8.96308e+23, 1.71124e-06, 3.47187e-06
1.2045e-07, 19, 4.41842e-09, 4.74999e-16, 1.10487e+07, 1.11271e+24, 1.96472e-06, 3.79772e-06
1.2045e-07, 20, 5.46174e-09, 3.57417e-18, 8.3328e+06, 1.36611e+24, 2.2404e-06, 4.9296e-06
1.2045e-07, 21, 6.6727e-09, 2.6752e-20, 6.37162e+06, 1.66052e+24, 2.53903e-06, 5.30799e-06
1.2045e-07, 22, 8.07003e-09, 1.99274e-22, 4.93323e+06, 2.00013e+24, 2.86132e-06, 6.78093e-06
1.2045e-07, 23, 9.68698e-09, 1.47799e-24, 3.86325e+06, 2.38934e+24, 3.208e-06, 7.20773e-06
1.2045e-07, 24, 1.15308e-08, 1.09192e-26, 3.05699e+06, 2.83278e+24, 3.57977e-06, 9.08382e-06
1.2045e-07, 25, 1.36355e-08, 8.03958e-29, 2.44223e+06, 3.33524e+24, 3.97733e-06, 9.55236e-06
1.2045e-07, 26, 1.5981e-08, 5.90908e-31, 1.96835e+06, 3.90176e+24, 4.40136e-06, 1.18988e-05
1.2045e-07, 27, 1.86337e-08, 4.3862e-33, 1.5994e+06, 4.53756e+24, 4.85254e-06, 1.23997e-05
1.2045e-07, 28, 2.16074e-08, 3.58563e-35, 1.30945e+06, 5.24807e+24, 5.33154e-06, 1.52888e-05
1.2045e-07, 29, 2.49193e-08, 4.9276e-37, 1.07961e+06, 6.03892e+24, 5.83901e-06, 1.581e-05
1.2045e-07, 30, 2.8595e-08, 1.74189e-38, 895963, 6.91596e+24, 6.37562e-06, 1.93189e-05
1.2045e-07, 31, 3.26378e-08, 9.47704e-40, 748114, 7.88522e+24, 6.94201e-06, 1.98454e-05
1.2045e-07, 32, 3.70819e-08, 5.53449e-41, 628250, 8.95297e+24, 7.53882e-06, 2.40565e-05
