N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.05,1,1,0.1,0.01,-1,-1,6.88022,0.00761291,1.79967e-07,204823,1.19941e-08,1.19941e-08,1.10931e+17,2.4805e+23
6,1e-07,1,1,0.05,1,1,0.1,0.01,0.290956,1.01154e-08,0.00736968,0.00783003,6.23663e-07,34629.1,1.71413e-08,1.71413e-08,4.88359e+16,2.06709e+23
7,1e-07,1,1,0.05,1,1,0.1,0.01,0.22377,1.34464e-08,0.00426383,0.00859167,8.46121e-07,5685,2.4904e-08,2.4904e-08,2.4405e+16,1.77179e+23
8,1e-07,1,1,0.05,1,1,0.1,0.01,0.208093,1.41611e-08,0.003765,0.00866318,1.04984e-06,804.056,3.20991e-08,3.20991e-08,1.33818e+16,1.55031e+23
9,1e-07,1,1,0.05,1,1,0.1,0.01,0.197107,1.46653e-08,0.00344363,0.00938704,1.27035e-06,118.015,4.32452e-08,4.32452e-08,7.87641e+15,1.37806e+23
10,1e-07,1,1,0.05,1,1,0.1,0.01,0.18826,1.51064e-08,0.00319301,0.00936041,1.5091e-06,15.9455,5.24816e-08,5.24816e-08,4.90252e+15,1.24025e+23
11,1e-07,1,1,0.05,1,1,0.1,0.01,0.181855,1.53963e-08,0.0030263,0.0100667,1.76637e-06,2.21903,6.74515e-08,6.74515e-08,3.19266e+15,1.1275e+23
12,1e-07,1,1,0.05,1,1,0.1,0.01,0.174902,1.58433e-08,0.0028285,0.00996683,2.04077e-06,0.292806,7.86782e-08,7.86782e-08,2.15826e+15,1.03354e+23
13,1e-07,1,1,0.05,1,1,0.1,0.01,0.170396,1.607e-08,0.00271673,0.0106654,2.33379e-06,0.0393748,9.7903e-08,9.7903e-08,1.50548e+15,9.54039e+22
14,1e-07,1,1,0.05,1,1,0.1,0.01,0.165268,1.64434e-08,0.00257515,0.0105075,2.64342e-06,0.00510832,1.11035e-07,1.11035e-07,1.07856e+15,8.85894e+22
