N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,0.01,1,0.1,1,1,1,0.01,0.376257,7.84989e-09,0.0122808,0.00770945,5.73217e-06,8.09222e+18,1.22748e-08,1.22748e-08,4.43726e+17,2.4805e+22
6,1e-07,0.01,1,0.1,1,1,1,0.01,0.359102,7.79202e-09,0.0118079,0.00802374,8.61205e-06,1.60161e+17,1.78648e-08,1.78648e-08,1.95344e+17,2.06709e+22
7,1e-07,0.01,1,0.1,1,1,1,0.01,0.345113,7.75797e-09,0.0113977,0.00876317,1.21183e-05,3.18294e+15,2.58007e-08,2.58007e-08,9.76199e+16,1.77179e+22
8,1e-07,0.01,1,0.1,1,1,1,0.01,0.335523,7.67755e-09,0.0111971,0.00896937,1.64147e-05,6.27832e+13,3.39895e-08,3.39895e-08,5.35272e+16,1.55031e+22
9,1e-07,0.01,1,0.1,1,1,1,0.01,0.325379,7.67107e-09,0.0108677,0.00964833,2.12343e-05,1.22671e+12,4.5374e-08,4.5374e-08,3.15056e+16,1.37806e+22
10,1e-07,0.01,1,0.1,1,1,1,0.01,0.319179,7.59187e-09,0.0107718,0.00979303,2.70315e-05,2.37638e+10,5.64469e-08,5.64469e-08,1.96101e+16,1.24025e+22
11,1e-07,0.01,1,0.1,1,1,1,0.01,0.312114,7.574e-09,0.0105583,0.0104302,3.33425e-05,4.57025e+08,7.16835e-08,7.16835e-08,1.27706e+16,1.1275e+22
12,1e-07,0.01,1,0.1,1,1,1,0.01,0.307047,7.52287e-09,0.0104575,0.0105369,4.05888e-05,8.73636e+06,8.59189e-08,8.59189e-08,8.63305e+15,1.03354e+22
13,1e-07,0.01,1,0.1,1,1,1,0.01,0.302173,7.48911e-09,0.0103378,0.0111417,4.85283e-05,166149,1.05381e-07,1.05381e-07,6.02191e+15,9.54039e+21
14,1e-07,0.01,1,0.1,1,1,1,0.01,0.29696,7.4866e-09,0.0101629,0.0112241,5.69958e-05,3146.1,1.23052e-07,1.23052e-07,4.31423e+15,8.85894e+21
15,1e-07,0.01,1,0.1,1,1,1,0.01,0.294355,7.41552e-09,0.0101703,0.0118021,6.68807e-05,59.3485,1.47089e-07,1.47089e-07,3.16278e+15,8.26834e+21
16,1e-07,0.01,1,0.1,1,1,1,0.01,0.29136,7.37119e-09,0.0101274,0.0118684,7.7393e-05,1.1159,1.68466e-07,1.68466e-07,2.36559e+15,7.75157e+21
17,1e-07,0.01,1,0.1,1,1,1,0.01,0.287347,7.3736e-09,0.00998461,0.0124234,8.81797e-05,0.0209214,1.97409e-07,1.97409e-07,1.80078e+15,7.29559e+21
18,1e-07,0.01,1,0.1,1,1,1,0.01,0.283884,7.36903e-09,0.00987042,0.0124791,9.98043e-05,0.000391247,2.22759e-07,2.22759e-07,1.39237e+15,6.89028e+21
19,1e-07,0.01,1,0.1,1,1,1,0.01,0.282006,7.31963e-09,0.00987129,0.0130138,0.000112939,7.29997e-06,2.56923e-07,2.56923e-07,1.09166e+15,6.52764e+21
20,1e-07,0.01,1,0.1,1,1,1,0.01,0.279442,7.30247e-09,0.00980452,0.0130626,0.000126419,1.35928e-07,2.8651e-07,2.8651e-07,8.66652e+14,6.20126e+21
