N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,1,1,0.01,0.375581,7.86732e-09,0.0122315,0.00770945,5.71682e-06,4.06025e+14,1.22748e-08,1.22748e-08,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,1,1,1,0.01,0.35878,7.80072e-09,0.0117841,0.00802374,8.6005e-06,1.10953e+12,1.78648e-08,1.78648e-08,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,1,1,1,0.01,0.346251,7.72605e-09,0.0114825,0.00876317,1.21782e-05,3.04443e+09,2.58007e-08,2.58007e-08,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,1,1,1,0.01,0.334946,7.69424e-09,0.0111535,0.00896937,1.63726e-05,8.29123e+06,3.39895e-08,3.39895e-08,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,1,1,1,0.01,0.327564,7.6062e-09,0.011034,0.00964833,2.14466e-05,22367.4,4.5374e-08,4.5374e-08,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,1,1,1,0.01,0.318744,7.60507e-09,0.0107385,0.00979303,2.69769e-05,59.8253,5.64469e-08,5.64469e-08,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,1,1,1,0.01,0.313413,7.53373e-09,0.0106589,0.0104302,3.35472e-05,0.158857,7.16835e-08,7.16835e-08,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,1,1,1,0.01,0.306181,7.55035e-09,0.01039,0.0105369,4.04183e-05,0.000419269,8.59189e-08,8.59189e-08,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,1,1,1,0.01,0.301361,7.51529e-09,0.0102741,0.0111417,4.83349e-05,1.10093e-06,1.05381e-07,1.05381e-07,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,1,1,1,0.01,0.298767,7.42763e-09,0.0103059,0.0112241,5.75035e-05,2.87827e-09,1.23052e-07,1.23052e-07,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,1,1,1,0.01,0.294517,7.41017e-09,0.0101832,0.0118021,6.69337e-05,7.4978e-12,1.47089e-07,1.47089e-07,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,1,1,1,0.01,0.290464,7.40114e-09,0.0100554,0.0118684,7.70522e-05,1.95364e-14,1.68466e-07,1.68466e-07,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,1,1,1,0.01,0.287347,7.3736e-09,0.00998461,0.0124234,8.81797e-05,5.49603e-17,1.97409e-07,1.97409e-07,1.80078e+15,7.29559e+21
18,1e-07,1,1,0.1,1,1,1,0.01,0.283884,7.36903e-09,0.00987042,0.0124791,9.98043e-05,4.07073e-19,2.22759e-07,2.22759e-07,1.39237e+15,6.89028e+21
19,1e-07,1,1,0.1,1,1,1,0.01,0.282006,7.31963e-09,0.00987129,0.0130138,0.000112939,1.69085e-20,2.56923e-07,2.56923e-07,1.09166e+15,6.52764e+21
20,1e-07,1,1,0.1,1,1,1,0.01,0.279442,7.30247e-09,0.00980452,0.0130626,0.000126419,9.83436e-22,2.8651e-07,2.8651e-07,8.66652e+14,6.20126e+21
21,1e-07,1,1,0.1,1,1,1,0.01,0.276656,7.30105e-09,0.00970865,0.0135791,0.000140405,5.77736e-23,3.26198e-07,3.26198e-07,6.95813e+14,5.90596e+21
