N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,1,1,0.0001,0.0224526,9.36367e-08,6.14362e-05,0.000177989,1.8643e-08,7.17943e+17,3.06581e-16,3.06581e-16,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,1,1,1,0.0001,0.021459,9.16846e-08,5.99679e-05,0.00018853,2.87543e-08,2.1491e+15,4.45696e-16,4.45696e-16,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,1,1,1,0.0001,0.0204776,9.10328e-08,5.7635e-05,0.000199433,4.08935e-08,6.42565e+12,6.18082e-16,6.18082e-16,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,1,1,1,0.0001,0.0196411,9.06497e-08,5.55143e-05,0.000210511,5.53359e-08,1.89995e+10,8.26692e-16,8.26692e-16,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,1,1,1,0.0001,0.0190996,8.94263e-08,5.47223e-05,0.000221669,7.32204e-08,5.55213e+07,1.0748e-15,1.0748e-15,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,1,1,1,0.0001,0.0186039,8.85121e-08,5.38526e-05,0.00023283,9.38207e-08,160041,1.36528e-15,1.36528e-15,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,1,1,1,0.0001,0.0180281,8.85169e-08,5.21828e-05,0.00024395,1.1597e-07,457.021,1.70105e-15,1.70105e-15,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,1,1,1,0.0001,0.0176405,8.78212e-08,5.14653e-05,0.000255,1.42214e-07,1.29125,2.08493e-15,2.08493e-15,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,1,1,1,0.0001,0.0173717,8.67274e-08,5.13204e-05,0.000265955,1.72743e-07,0.00361707,2.51952e-15,2.51952e-15,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,1,1,1,0.0001,0.0170517,8.61899e-08,5.06892e-05,0.000276818,2.05362e-07,1.00453e-05,3.00812e-15,3.00812e-15,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,1,1,1,0.0001,0.0167522,8.57495e-08,5.00548e-05,0.000287557,2.41031e-07,2.77327e-08,3.55228e-15,3.55228e-15,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,1,1,1,0.0001,0.0164755,8.53621e-08,4.94513e-05,0.000298187,2.79882e-07,7.60142e-11,4.15543e-15,4.15543e-15,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,1,1,1,0.0001,0.0161435,8.54923e-08,4.83811e-05,0.000308699,3.1966e-07,2.06872e-13,4.81974e-15,4.81974e-15,1.80078e+15,7.29559e+21
18,1e-07,1,1,0.1,1,1,1,0.0001,0.0159376,8.49788e-08,4.80527e-05,0.000319101,3.65836e-07,5.60923e-16,5.54824e-15,5.54824e-15,1.39237e+15,6.89028e+21
19,1e-07,1,1,0.1,1,1,1,0.0001,0.0157717,8.43358e-08,4.79148e-05,0.000329377,4.16624e-07,1.52194e-18,6.3421e-15,6.3421e-15,1.09166e+15,6.52764e+21
20,1e-07,1,1,0.1,1,1,1,0.0001,0.0155069,8.44463e-08,4.70488e-05,0.000339539,4.66157e-07,4.75585e-21,7.20451e-15,7.20451e-15,8.66652e+14,6.20126e+21
21,1e-07,1,1,0.1,1,1,1,0.0001,0.0154272,8.34535e-08,4.73638e-05,0.000349591,5.27475e-07,5.27626e-23,8.13786e-15,8.13786e-15,6.95813e+14,5.90596e+21
22,1e-07,1,1,0.1,1,1,1,0.0001,0.0152422,8.32381e-08,4.6917e-05,0.000359532,5.86879e-07,2.51838e-24,9.14416e-15,9.14416e-15,5.64388e+14,5.6375e+21
23,1e-07,1,1,0.1,1,1,1,0.0001,0.0150367,8.32459e-08,4.628e-05,0.000369361,6.47755e-07,1.46745e-25,1.02252e-14,1.02252e-14,4.62066e+14,5.3924e+21
24,1e-07,1,1,0.1,1,1,1,0.0001,0.014905,8.28383e-08,4.61005e-05,0.000379088,7.16449e-07,8.57842e-27,1.1384e-14,1.1384e-14,3.8153e+14,5.16771e+21
25,1e-07,1,1,0.1,1,1,1,0.0001,0.0147666,8.25449e-08,4.58346e-05,0.000388714,7.87988e-07,4.98341e-28,1.26224e-14,1.26224e-14,3.17504e+14,4.961e+21
26,1e-07,1,1,0.1,1,1,1,0.0001,0.0145899,8.25761e-08,4.52693e-05,0.000398246,8.59286e-07,2.87708e-29,1.39432e-14,1.39432e-14,2.66134e+14,4.7702e+21
27,1e-07,1,1,0.1,1,1,1,0.0001,0.0145494,8.17336e-08,4.56088e-05,0.000407675,9.465e-07,1.65151e-30,1.53469e-14,1.53469e-14,2.24565e+14,4.59352e+21
28,1e-07,1,1,0.1,1,1,1,0.0001,0.0144183,8.15632e-08,4.52924e-05,0.000417017,1.0288e-06,9.42965e-32,1.68375e-14,1.68375e-14,1.90664e+14,4.42947e+21
29,1e-07,1,1,0.1,1,1,1,0.0001,0.014229,8.18497e-08,4.45413e-05,0.000426266,1.10729e-06,5.35742e-33,1.84157e-14,1.84157e-14,1.62813e+14,4.27673e+21
