N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.05,1,1,1,0.001,0.0160417,2.30619e-07,1.78222e-05,0.00111842,5.61541e-10,0.000392188,1.90254e-12,1.90254e-12,1.10931e+17,2.4805e+22
6,1e-07,1,1,0.05,1,1,1,0.001,0.0147814,2.42602e-07,1.56108e-05,0.00125382,7.48135e-10,2.04199e-06,2.96588e-12,2.96588e-12,4.88359e+16,2.06709e+22
7,1e-07,1,1,0.05,1,1,1,0.001,0.013811,2.53774e-07,1.39438e-05,0.00138491,9.5719e-10,9.63964e-09,4.33856e-12,4.33856e-12,2.4405e+16,1.77179e+22
8,1e-07,1,1,0.05,1,1,1,0.001,0.0129895,2.65648e-07,1.25283e-05,0.00151069,1.18808e-09,4.22409e-11,6.05021e-12,6.05021e-12,1.33818e+16,1.55031e+22
9,1e-07,1,1,0.05,1,1,1,0.001,0.0124571,2.72738e-07,1.17024e-05,0.00163356,1.44145e-09,1.74391e-13,8.13406e-12,8.13406e-12,7.87641e+15,1.37806e+22
10,1e-07,1,1,0.05,1,1,1,0.001,0.0120228,2.79092e-07,1.10373e-05,0.00175259,1.71649e-09,6.85881e-16,1.06172e-11,1.06172e-11,4.90252e+15,1.24025e+22
11,1e-07,1,1,0.05,1,1,1,0.001,0.011668,2.84647e-07,1.05025e-05,0.00186943,2.01303e-09,2.59126e-18,1.35316e-11,1.35316e-11,3.19266e+15,1.1275e+22
12,1e-07,1,1,0.05,1,1,1,0.001,0.0113383,2.90861e-07,9.98771e-06,0.00198331,2.33036e-09,9.46483e-21,1.69022e-11,1.69022e-11,2.15826e+15,1.03354e+22
13,1e-07,1,1,0.05,1,1,1,0.001,0.0110987,2.95001e-07,9.63949e-06,0.00209544,2.66922e-09,3.35907e-23,2.07601e-11,2.07601e-11,1.50548e+15,9.54039e+21
14,1e-07,1,1,0.05,1,1,1,0.001,0.0108663,2.99907e-07,9.28319e-06,0.00220519,3.02837e-09,1.16296e-25,2.5129e-11,2.5129e-11,1.07856e+15,8.85894e+21
15,1e-07,1,1,0.05,1,1,1,0.001,0.0107165,3.02283e-07,9.08328e-06,0.00231347,3.4092e-09,3.94029e-28,3.00379e-11,3.00379e-11,7.90695e+14,8.26834e+21
16,1e-07,1,1,0.05,1,1,1,0.001,0.0105696,3.05217e-07,8.87267e-06,0.00241977,3.8101e-09,1.31001e-30,3.55102e-11,3.55102e-11,5.91398e+14,7.75157e+21
17,1e-07,1,1,0.05,1,1,1,0.001,0.0104184,3.08995e-07,8.63883e-06,0.00252481,4.23055e-09,4.28255e-33,4.15739e-11,4.15739e-11,4.50194e+14,7.29559e+21
18,1e-07,1,1,0.05,1,1,1,0.001,0.0102797,3.12829e-07,8.41931e-06,0.00262816,4.67073e-09,1.37931e-35,4.82514e-11,4.82514e-11,3.48091e+14,6.89028e+21
19,1e-07,1,1,0.05,1,1,1,0.001,0.0102403,3.12416e-07,8.39812e-06,0.00273041,5.13401e-09,4.38288e-38,5.55695e-11,5.55695e-11,2.72916e+14,6.52764e+21
20,1e-07,1,1,0.05,1,1,1,0.001,0.0101565,3.14503e-07,8.27417e-06,0.00283119,5.61506e-09,1.37593e-40,6.35498e-11,6.35498e-11,2.16663e+14,6.20126e+21
21,1e-07,1,1,0.05,1,1,1,0.001,0.0100647,3.17388e-07,8.12482e-06,0.002931,6.1148e-09,4.2725e-43,7.22194e-11,7.22194e-11,1.73953e+14,5.90596e+21
22,1e-07,1,1,0.05,1,1,1,0.001,0.0100393,3.17223e-07,8.10852e-06,0.0030295,6.63689e-09,1.3134e-45,8.15969e-11,8.15969e-11,1.41097e+14,5.6375e+21
23,1e-07,1,1,0.05,1,1,1,0.001,0.00994419,3.20974e-07,7.93786e-06,0.00312712,7.17399e-09,4.00043e-48,9.17098e-11,9.17098e-11,1.15517e+14,5.3924e+21
24,1e-07,1,1,0.05,1,1,1,0.001,0.00991075,3.21759e-07,7.89187e-06,0.00322359,7.73338e-09,1.20832e-50,1.02578e-10,1.02578e-10,9.53826e+13,5.16771e+21
25,1e-07,1,1,0.05,1,1,1,0.001,0.00992266,3.20289e-07,7.93762e-06,0.00331926,8.31469e-09,3.62159e-53,1.14226e-10,1.14226e-10,7.93761e+13,4.961e+21
26,1e-07,1,1,0.05,1,1,1,0.001,0.00988827,3.21529e-07,7.87962e-06,0.00341388,8.91144e-09,1.07779e-55,1.26676e-10,1.26676e-10,6.65334e+13,4.7702e+21
27,1e-07,1,1,0.05,1,1,1,0.001,0.00985772,3.22761e-07,7.82528e-06,0.00350777,9.52678e-09,3.18598e-58,1.39947e-10,1.39947e-10,5.61413e+13,4.59352e+21
28,1e-07,1,1,0.05,1,1,1,0.001,0.00986391,3.22091e-07,7.84648e-06,0.0036007,1.01635e-08,9.36004e-61,1.54061e-10,1.54061e-10,4.7666e+13,4.42947e+21
29,1e-07,1,1,0.05,1,1,1,0.001,0.00982727,3.24022e-07,7.77074e-06,0.00369296,1.08145e-08,2.73391e-63,1.69044e-10,1.69044e-10,4.07032e+13,4.27673e+21
30,1e-07,1,1,0.05,1,1,1,0.001,0.00983533,3.23523e-07,7.78913e-06,0.00378434,1.14878e-08,7.94257e-66,1.8491e-10,1.8491e-10,3.49441e+13,4.13417e+21
31,1e-07,1,1,0.05,1,1,1,0.001,0.00983104,3.23869e-07,7.7774e-06,0.00387509,1.21778e-08,2.29588e-68,2.01688e-10,2.01688e-10,3.01503e+13,4.00081e+21
32,1e-07,1,1,0.05,1,1,1,0.001,0.00985064,3.22919e-07,7.81584e-06,0.00396503,1.28882e-08,6.60516e-71,2.19389e-10,2.19389e-10,2.61363e+13,3.87578e+21
33,1e-07,1,1,0.05,1,1,1,0.001,0.00982092,3.25027e-07,7.74173e-06,0.00405438,1.36106e-08,1.89197e-73,2.38042e-10,2.38042e-10,2.27566e+13,3.75834e+21
34,1e-07,1,1,0.05,1,1,1,0.001,0.00984038,3.24286e-07,7.77478e-06,0.00414299,1.43564e-08,5.39615e-76,2.57661e-10,2.57661e-10,1.98959e+13,3.6478e+21
35,1e-07,1,1,0.05,1,1,1,0.001,0.00984439,3.2458e-07,7.77092e-06,0.00423104,1.51176e-08,1.53298e-78,2.78271e-10,2.78271e-10,1.74628e+13,3.54357e+21
36,1e-07,1,1,0.05,1,1,1,0.001,0.0098947,3.22115e-07,7.8704e-06,0.0043184,1.59025e-08,4.33896e-81,2.9989e-10,2.9989e-10,1.53836e+13,3.44514e+21
37,1e-07,1,1,0.05,1,1,1,0.001,0.00990824,3.21978e-07,7.8845e-06,0.00440522,1.66998e-08,1.22374e-83,3.22535e-10,3.22535e-10,1.35992e+13,3.35203e+21
38,1e-07,1,1,0.05,1,1,1,0.001,0.00988085,3.24482e-07,7.80204e-06,0.0044914,1.75078e-08,3.43983e-86,3.46228e-10,3.46228e-10,1.20613e+13,3.26382e+21
39,1e-07,1,1,0.05,1,1,1,0.001,0.00990957,3.23557e-07,7.84708e-06,0.00457708,1.83411e-08,9.63848e-89,3.70987e-10,3.70987e-10,1.07307e+13,3.18013e+21
40,1e-07,1,1,0.05,1,1,1,0.001,0.00995008,3.21948e-07,7.91854e-06,0.00466215,1.91934e-08,2.69254e-91,3.96832e-10,3.96832e-10,9.57524e+12,3.10063e+21
41,1e-07,1,1,0.05,1,1,1,0.001,0.00994699,3.23168e-07,7.88619e-06,0.00474674,2.00551e-08,7.50022e-94,4.23783e-10,4.23783e-10,8.56825e+12,3.025e+21
42,1e-07,1,1,0.05,1,1,1,0.001,0.00998595,3.21767e-07,7.95157e-06,0.00483076,2.09407e-08,2.08328e-96,4.51854e-10,4.51854e-10,7.68772e+12,2.95298e+21
43,1e-07,1,1,0.05,1,1,1,0.001,0.010027,3.20282e-07,8.02125e-06,0.00491433,2.18432e-08,5.77142e-99,4.81072e-10,4.81072e-10,6.91531e+12,2.8843e+21
44,1e-07,1,1,0.05,1,1,1,0.001,0.0100743,3.18443e-07,8.10565e-06,0.00499735,2.27635e-08,1.595e-101,5.11444e-10,5.11444e-10,6.23566e+12,2.81875e+21
45,1e-07,1,1,0.05,1,1,1,0.001,0.0100669,3.20168e-07,8.0561e-06,0.00507994,2.36897e-08,4.39735e-104,5.43001e-10,5.43001e-10,5.6359e+12,2.75611e+21
46,1e-07,1,1,0.05,1,1,1,0.001,0.0101076,3.18846e-07,8.12214e-06,0.00516201,2.46413e-08,1.20959e-106,5.75747e-10,5.75747e-10,5.10516e+12,2.6962e+21
47,1e-07,1,1,0.05,1,1,1,0.001,0.0101635,3.16571e-07,8.22579e-06,0.00524366,2.56122e-08,3.31998e-109,6.09713e-10,6.09713e-10,4.63425e+12,2.63883e+21
48,1e-07,1,1,0.05,1,1,1,0.001,0.010181,3.16831e-07,8.23314e-06,0.00532483,2.65913e-08,9.0928e-112,6.44911e-10,6.44911e-10,4.21535e+12,2.58386e+21
49,1e-07,1,1,0.05,1,1,1,0.001,0.0102221,3.15591e-07,8.29889e-06,0.0054056,2.75912e-08,2.48536e-114,6.81361e-10,6.81361e-10,3.84182e+12,2.53112e+21
50,1e-07,1,1,0.05,1,1,1,0.001,0.0102613,3.1451e-07,8.35936e-06,0.0054859,2.86065e-08,6.7805e-117,7.19075e-10,7.19075e-10,3.50796e+12,2.4805e+21
51,1e-07,1,1,0.05,1,1,1,0.001,0.010283,3.14607e-07,8.37446e-06,0.00556582,2.96336e-08,1.84633e-119,7.58075e-10,7.58075e-10,3.20888e+12,2.43186e+21
52,1e-07,1,1,0.05,1,1,1,0.001,0.0103111,3.14329e-07,8.40473e-06,0.00564528,3.06775e-08,5.01879e-122,7.98372e-10,7.98372e-10,2.94039e+12,2.3851e+21
53,1e-07,1,1,0.05,1,1,1,0.001,0.0103507,3.13321e-07,8.46415e-06,0.00572438,3.17395e-08,1.36176e-124,8.39995e-10,8.39995e-10,2.69885e+12,2.3401e+21
54,1e-07,1,1,0.05,1,1,1,0.001,0.0103764,3.13258e-07,8.48691e-06,0.00580305,3.28135e-08,3.6893e-127,8.82951e-10,8.82951e-10,2.48112e+12,2.29676e+21
55,1e-07,1,1,0.05,1,1,1,0.001,0.0104465,3.10295e-07,8.62582e-06,0.00588137,3.39137e-08,9.97749e-130,9.27263e-10,9.27263e-10,2.28448e+12,2.255e+21
56,1e-07,1,1,0.05,1,1,1,0.001,0.010472,3.10302e-07,8.64666e-06,0.00595928,3.50181e-08,2.69416e-132,9.7295e-10,9.7295e-10,2.10656e+12,2.21473e+21
57,1e-07,1,1,0.05,1,1,1,0.001,0.0105121,3.09365e-07,8.70611e-06,0.00603683,3.61412e-08,7.26479e-135,1.02002e-09,1.02002e-09,1.94528e+12,2.17588e+21
58,1e-07,1,1,0.05,1,1,1,0.001,0.0105408,3.09217e-07,8.73402e-06,0.006114,3.72763e-08,1.95606e-137,1.06849e-09,1.06849e-09,1.79884e+12,2.13836e+21
59,1e-07,1,1,0.05,1,1,1,0.001,0.0105729,3.08868e-07,8.77052e-06,0.00619084,3.8427e-08,5.25893e-140,1.11839e-09,1.11839e-09,1.66566e+12,2.10212e+21
60,1e-07,1,1,0.05,1,1,1,0.001,0.0106053,3.0852e-07,8.80737e-06,0.00626729,3.95925e-08,1.41217e-142,1.16972e-09,1.16972e-09,1.54433e+12,2.06709e+21
61,1e-07,1,1,0.05,1,1,1,0.001,0.0106391,3.08111e-07,8.8471e-06,0.00634342,4.07728e-08,3.78723e-145,1.2225e-09,1.2225e-09,1.43362e+12,2.0332e+21
