N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,1,1,0.05,1.89883,1.55213e-09,0.313446,0.0380786,5.82755e-05,122559,7.50183e-06,7.50183e-06,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,1,1,1,0.05,1.71237,1.65309e-09,0.265404,0.0391831,7.71484e-05,638.103,1.07307e-05,1.07307e-05,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,1,1,1,0.05,1.5748,1.74032e-09,0.231846,0.0429853,9.8177e-05,3.01234,1.55842e-05,1.55842e-05,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,1,1,1,0.05,1.46345,1.82534e-09,0.205417,0.0433709,0.000121309,0.0132001,2.01107e-05,2.01107e-05,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,1,1,1,0.05,1.37716,1.89781e-09,0.185925,0.0469775,0.000146524,5.44984e-05,2.7076e-05,2.7076e-05,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,1,1,1,0.05,1.30652,1.96376e-09,0.170463,0.046883,0.000173784,2.14339e-07,3.29088e-05,3.29088e-05,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,1,1,1,0.05,1.25223,2.01439e-09,0.159274,0.0503934,0.000203092,8.09776e-10,4.22555e-05,4.22555e-05,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,1,1,1,0.05,1.20949,2.0531e-09,0.150938,0.0499447,0.000234429,2.95775e-12,4.93795e-05,4.93795e-05,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,1,1,1,0.05,1.16285,2.11186e-09,0.141079,0.0534072,0.000267661,1.0497e-14,6.13684e-05,6.13684e-05,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,1,1,1,0.05,1.13033,2.14663e-09,0.134913,0.052681,0.000302932,3.63421e-17,6.97512e-05,6.97512e-05,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,1,1,1,0.05,1.09769,2.1897e-09,0.12844,0.0561216,0.000340093,1.23135e-19,8.46367e-05,8.46367e-05,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,1,1,1,0.05,1.07164,2.22216e-09,0.12356,0.0551694,0.000379222,4.0937e-22,9.4233e-05,9.4233e-05,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,1,1,1,0.05,1.04879,2.25139e-09,0.119356,0.0586032,0.000420273,1.33832e-24,0.000112264,0.000112264,1.80078e+15,7.29559e+21
