N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,1,1,0.5,4.44557,1.01729e-09,1.11966,0.380585,0.000624335,1.57438e+11,0.0749397,0.0749397,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,1,1,1,0.5,4.30899,1.01342e-09,1.0894,0.391385,0.000920956,4.2344e+08,0.10707,0.10707,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,1,1,1,0.5,4.19127,1.01578e-09,1.05718,0.42949,0.00126976,1.13945e+06,0.155582,0.155582,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,1,1,1,0.5,4.11351,1.01322e-09,1.04019,0.432975,0.00168407,3032.51,0.200451,0.200451,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,1,1,1,0.5,4.0375,1.01677e-09,1.01741,0.469212,0.00214459,7.96763,0.270122,0.270122,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,1,1,1,0.5,3.98763,1.01579e-09,1.00581,0.467754,0.00267257,0.0206906,0.327642,0.327642,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,1,1,1,0.5,3.94677,1.0154e-09,0.995886,0.503137,0.00325706,5.31938e-05,0.421246,0.421246,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,1,1,1,0.5,3.89782,1.02173e-09,0.977441,0.497979,0.00387035,1.35605e-07,0.491037,0.491037,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,1,1,1,0.5,3.8685,1.02299e-09,0.968892,0.533009,0.004556,3.43509e-10,0.611301,0.611301,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,1,1,1,0.5,3.8383,1.02708e-09,0.957504,0.524904,0.00527839,8.82711e-13,0.692751,0.692751,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,1,1,1,0.5,3.82678,1.02511e-09,0.95646,0.559859,0.00608811,3.37172e-15,0.842384,0.842384,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,1,1,1,0.5,3.81226,1.02616e-09,0.951861,0.549309,0.00693145,8.03425e-17,0.934693,0.934693,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,1,1,1,0.5,3.80242,1.0266e-09,0.948993,0.584351,0.00782938,4.59599e-18,1.1164,1.1164,1.80078e+15,7.29559e+21
18,1e-07,1,1,0.1,1,1,1,0.5,3.78782,1.03061e-09,0.941668,0.571712,0.00874416,2.77031e-19,1.21861,1.21861,1.39237e+15,6.89028e+21
19,1e-07,1,1,0.1,1,1,1,0.5,3.77141,1.03684e-09,0.931958,0.606946,0.00967786,1.65735e-20,1.43509,1.43509,1.09166e+15,6.52764e+21
20,1e-07,1,1,0.1,1,1,1,0.5,3.77526,1.03443e-09,0.93508,0.592481,0.0107419,9.82575e-22,1.5461,1.5461,8.66652e+14,6.20126e+21
21,1e-07,1,1,0.1,1,1,1,0.5,3.77771,1.03358e-09,0.936459,0.627971,0.0118366,5.77714e-23,1.80009,1.80009,6.95813e+14,5.90596e+21
22,1e-07,1,1,0.1,1,1,1,0.5,3.7788,1.03423e-09,0.936145,0.611886,0.012957,3.37118e-24,1.91867,1.91867,5.64388e+14,5.6375e+21
23,1e-07,1,1,0.1,1,1,1,0.5,3.77817,1.03653e-09,0.93391,0.647676,0.0140953,1.9537e-25,2.21291,2.21291,4.62066e+14,5.3924e+21
24,1e-07,1,1,0.1,1,1,1,0.5,3.77726,1.03973e-09,0.930808,0.63013,0.0152558,1.1251e-26,2.33774,2.33774,3.8153e+14,5.16771e+21
25,1e-07,1,1,0.1,1,1,1,0.5,3.77549,1.04413e-09,0.926448,0.666249,0.0164294,6.44164e-28,2.67497,2.67497,3.17504e+14,4.961e+21
