N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,0.5,1,0.1,1,1,1,0.01,0.376052,7.85516e-09,0.0122658,0.00770945,5.72754e-06,6.02594e+16,1.22748e-08,1.22748e-08,4.43726e+17,2.4805e+22
6,1e-07,0.5,1,0.1,1,1,1,0.01,0.359358,7.78513e-09,0.0118268,0.00802374,8.62116e-06,4.47616e+14,1.78648e-08,1.78648e-08,1.95344e+17,2.06709e+22
7,1e-07,0.5,1,0.1,1,1,1,0.01,0.344696,7.76973e-09,0.0113667,0.00876317,1.2096e-05,3.33863e+12,2.58007e-08,2.58007e-08,9.76199e+16,1.77179e+22
8,1e-07,0.5,1,0.1,1,1,1,0.01,0.336344,7.65395e-09,0.0112591,0.00896937,1.64736e-05,2.47158e+10,3.39895e-08,3.39895e-08,5.35272e+16,1.55031e+22
9,1e-07,0.5,1,0.1,1,1,1,0.01,0.327302,7.61392e-09,0.011014,0.00964833,2.14216e-05,1.81245e+08,4.5374e-08,4.5374e-08,3.15056e+16,1.37806e+22
10,1e-07,0.5,1,0.1,1,1,1,0.01,0.318599,7.60951e-09,0.0107273,0.00979303,2.69585e-05,1.31774e+06,5.64469e-08,5.64469e-08,1.96101e+16,1.24025e+22
11,1e-07,0.5,1,0.1,1,1,1,0.01,0.312317,7.56768e-09,0.0105739,0.0104302,3.33749e-05,9511.43,7.16835e-08,7.16835e-08,1.27706e+16,1.1275e+22
12,1e-07,0.5,1,0.1,1,1,1,0.01,0.306212,7.54937e-09,0.0103924,0.0105369,4.04244e-05,68.2382,8.59189e-08,8.59189e-08,8.63305e+15,1.03354e+22
13,1e-07,0.5,1,0.1,1,1,1,0.01,0.301361,7.51529e-09,0.0102741,0.0111417,4.83349e-05,0.487064,1.05381e-07,1.05381e-07,6.02191e+15,9.54039e+21
14,1e-07,0.5,1,0.1,1,1,1,0.01,0.298767,7.42763e-09,0.0103059,0.0112241,5.75035e-05,0.0034614,1.23052e-07,1.23052e-07,4.31423e+15,8.85894e+21
15,1e-07,0.5,1,0.1,1,1,1,0.01,0.294517,7.41017e-09,0.0101832,0.0118021,6.69337e-05,2.45065e-05,1.47089e-07,1.47089e-07,3.16278e+15,8.26834e+21
16,1e-07,0.5,1,0.1,1,1,1,0.01,0.290464,7.40114e-09,0.0100554,0.0118684,7.70522e-05,1.72937e-07,1.68466e-07,1.68466e-07,2.36559e+15,7.75157e+21
17,1e-07,0.5,1,0.1,1,1,1,0.01,0.287347,7.3736e-09,0.00998461,0.0124234,8.81797e-05,1.21687e-09,1.97409e-07,1.97409e-07,1.80078e+15,7.29559e+21
18,1e-07,0.5,1,0.1,1,1,1,0.01,0.283884,7.36903e-09,0.00987042,0.0124791,9.98043e-05,8.54074e-12,2.22759e-07,2.22759e-07,1.39237e+15,6.89028e+21
19,1e-07,0.5,1,0.1,1,1,1,0.01,0.282006,7.31963e-09,0.00987129,0.0130138,0.000112939,5.98078e-14,2.56923e-07,2.56923e-07,1.09166e+15,6.52764e+21
20,1e-07,0.5,1,0.1,1,1,1,0.01,0.279442,7.30247e-09,0.00980452,0.0130626,0.000126419,4.17963e-16,2.8651e-07,2.8651e-07,8.66652e+14,6.20126e+21
21,1e-07,0.5,1,0.1,1,1,1,0.01,0.276656,7.30105e-09,0.00970865,0.0135791,0.000140405,2.91562e-18,3.26198e-07,3.26198e-07,6.95813e+14,5.90596e+21
22,1e-07,0.5,1,0.1,1,1,1,0.01,0.275373,7.25324e-09,0.00972734,0.0136236,0.000156205,2.03075e-20,3.60282e-07,3.60282e-07,5.64388e+14,5.6375e+21
23,1e-07,0.5,1,0.1,1,1,1,0.01,0.273357,7.23763e-09,0.00967696,0.0141235,0.000172186,1.4138e-22,4.05787e-07,4.05787e-07,4.62066e+14,5.3924e+21
24,1e-07,0.5,1,0.1,1,1,1,0.01,0.271259,7.23075e-09,0.00961183,0.0141654,0.000188774,9.91628e-25,4.44629e-07,4.44629e-07,3.8153e+14,5.16771e+21
25,1e-07,0.5,1,0.1,1,1,1,0.01,0.268475,7.25457e-09,0.00948193,0.0146502,0.000205256,7.44323e-27,4.96232e-07,4.96232e-07,3.17504e+14,4.961e+21
26,1e-07,0.5,1,0.1,1,1,1,0.01,0.266553,7.2519e-09,0.00941752,0.0146907,0.000223237,8.37806e-29,5.40086e-07,5.40086e-07,2.66134e+14,4.7702e+21
27,1e-07,0.5,1,0.1,1,1,1,0.01,0.265444,7.22327e-09,0.00941551,0.0151616,0.000242918,2.40458e-30,5.98062e-07,5.98062e-07,2.24565e+14,4.59352e+21
28,1e-07,0.5,1,0.1,1,1,1,0.01,0.265027,7.17252e-09,0.00946724,0.0152018,0.000264345,1.195e-31,6.47183e-07,6.47183e-07,1.90664e+14,4.42947e+21
29,1e-07,0.5,1,0.1,1,1,1,0.01,0.263318,7.17383e-09,0.00940448,0.0156597,0.000284741,6.60048e-33,7.11803e-07,7.11803e-07,1.62813e+14,4.27673e+21
30,1e-07,0.5,1,0.1,1,1,1,0.01,0.261822,7.17074e-09,0.00935505,0.0157002,0.000306092,3.68453e-34,7.66441e-07,7.66441e-07,1.39776e+14,4.13417e+21
31,1e-07,0.5,1,0.1,1,1,1,0.01,0.259967,7.1848e-09,0.00927062,0.0161461,0.000327439,2.0528e-35,8.37965e-07,8.37965e-07,1.20601e+14,4.00081e+21
