N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.05,1,0.1,1,0.01,0.0186837,7.78377e-08,6.15002e-05,0.00770921,1.37875e-07,34.3207,1.2274e-08,1.2274e-08,1.10931e+12,2.4805e+22
6,1e-07,1,1,0.05,1,0.1,1,0.01,0.0198195,7.4222e-08,6.84172e-05,0.00802359,1.8341e-07,0.183843,1.78642e-08,1.78642e-08,4.88359e+11,2.06709e+22
7,1e-07,1,1,0.05,1,0.1,1,0.01,0.0209864,7.06609e-08,7.60961e-05,0.00876306,2.33409e-07,0.000885884,2.58001e-08,2.58001e-08,2.4405e+11,1.77179e+22
8,1e-07,1,1,0.05,1,0.1,1,0.01,0.0221909,6.69282e-08,8.49513e-05,0.00896928,2.87567e-07,3.94061e-06,3.39887e-08,3.39887e-08,1.33818e+11,1.55031e+22
9,1e-07,1,1,0.05,1,0.1,1,0.01,0.023339,6.40089e-08,9.34214e-05,0.00964826,3.45596e-07,1.64535e-08,4.53732e-08,4.53732e-08,7.87641e+10,1.37806e+22
10,1e-07,1,1,0.05,1,0.1,1,0.01,0.0244868,6.11909e-08,0.00010253,0.00979298,4.07301e-07,6.52758e-11,5.64463e-08,5.64463e-08,4.90252e+10,1.24025e+22
11,1e-07,1,1,0.05,1,0.1,1,0.01,0.0255911,5.88978e-08,0.000111325,0.0104301,4.72484e-07,2.48312e-13,7.16828e-08,7.16828e-08,3.19266e+10,1.1275e+22
12,1e-07,1,1,0.05,1,0.1,1,0.01,0.026742,5.61432e-08,0.00012204,0.0105369,5.41009e-07,9.12006e-16,8.59183e-08,8.59183e-08,2.15826e+10,1.03354e+22
13,1e-07,1,1,0.05,1,0.1,1,0.01,0.0278446,5.39125e-08,0.000132329,0.0111417,6.1271e-07,3.25142e-18,1.0538e-07,1.0538e-07,1.50548e+10,9.54039e+21
14,1e-07,1,1,0.05,1,0.1,1,0.01,0.0289073,5.2076e-08,0.000142224,0.011224,6.87464e-07,1.12993e-20,1.23052e-07,1.23052e-07,1.07856e+10,8.85894e+21
15,1e-07,1,1,0.05,1,0.1,1,0.01,0.0299877,5.00577e-08,0.000153489,0.0118021,7.65171e-07,3.84057e-23,1.47088e-07,1.47088e-07,7.90695e+09,8.26834e+21
