N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,0.01,1,1,0.01,0.134237,2.9138e-08,0.00118037,0.00770945,5.8746e-07,39.2189,1.22748e-08,1.22748e-08,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,0.01,1,1,0.01,0.123941,3.07004e-08,0.00103437,0.00802374,7.83798e-07,0.204194,1.78648e-08,1.78648e-08,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,0.01,1,1,0.01,0.11631,3.2056e-08,0.000929634,0.00876317,1.00414e-06,0.000963955,2.58007e-08,2.58007e-08,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,0.01,1,1,0.01,0.109926,3.34663e-08,0.000841585,0.00896937,1.2478e-06,4.22408e-06,3.39895e-08,3.39895e-08,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,0.01,1,1,0.01,0.106181,3.41346e-08,0.000796993,0.00964833,1.51577e-06,1.74396e-08,4.5374e-08,4.5374e-08,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,0.01,1,1,0.01,0.102053,3.52618e-08,0.000741527,0.00979303,1.80576e-06,6.85896e-11,5.64469e-08,5.64469e-08,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,0.01,1,1,0.01,0.0998105,3.56818e-08,0.000716695,0.0104302,2.12003e-06,2.59133e-13,7.16835e-08,7.16835e-08,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,0.01,1,1,0.01,0.0971882,3.64744e-08,0.0006827,0.0105369,2.45573e-06,9.46505e-16,8.59189e-08,8.59189e-08,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,0.01,1,1,0.01,0.0952979,3.70161e-08,0.000659625,0.0111417,2.81433e-06,3.35916e-18,1.05381e-07,1.05381e-07,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,0.01,1,1,0.01,0.093811,3.74413e-08,0.00064196,0.0112241,3.19537e-06,1.16299e-20,1.23052e-07,1.23052e-07,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,0.01,1,1,0.01,0.0925122,3.78519e-08,0.000626203,0.0118021,3.59826e-06,3.94049e-23,1.47089e-07,1.47089e-07,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,0.01,1,1,0.01,0.0916695,3.80541e-08,0.000617203,0.0118684,4.02382e-06,1.31005e-25,1.68466e-07,1.68466e-07,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,0.01,1,1,0.01,0.0906601,3.84371e-08,0.000604325,0.0124234,4.46983e-06,4.28287e-28,1.97409e-07,1.97409e-07,1.80078e+15,7.29559e+21
