# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1.5, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 57, 2.90431e-07, 1.34427e-96, 31619.7, 2.36256e+26, 3.41007e-05, 0.000147952
1e-07, 58, 3.0968e-07, 2.70631e-98, 28735.3, 2.53276e+26, 3.56953e-05, 0.000166277
1e-07, 59, 3.30808e-07, 5.43968e-100, 26156.8, 2.71201e+26, 3.73356e-05, 0.000166308
1e-07, 60, 3.5333e-07, 1.09169e-101, 23847.2, 2.9006e+26, 3.90223e-05, 0.000186389
1e-07, 61, 3.77573e-07, 2.18763e-103, 21774.9, 3.09886e+26, 4.07558e-05, 0.00018621
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 63, 4.25664e-07, 8.747e-107, 18234.7, 3.5257e+26, 4.43652e-05, 0.000207729
1e-07, 64, 4.52422e-07, 1.74545e-108, 16721.7, 3.75494e+26, 4.62422e-05, 0.000231624
1e-07, 65, 4.7976e-07, 3.47845e-110, 15354.9, 3.99518e+26, 4.81681e-05, 0.000230937
1e-07, 66, 5.08966e-07, 6.92324e-112, 14118.2, 4.24677e+26, 5.01433e-05, 0.000256894
1e-07, 67, 5.38704e-07, 1.37624e-113, 12997.5, 4.51006e+26, 5.21683e-05, 0.000255908
1e-07, 68, 5.69988e-07, 2.7325e-115, 11980.4, 4.7854e+26, 5.42437e-05, 0.000284032
1e-07, 69, 6.02517e-07, 5.41897e-117, 11056.1, 5.07317e+26, 5.637e-05, 0.000282713
1e-07, 70, 6.36379e-07, 1.07345e-118, 10214.9, 5.37372e+26, 5.85476e-05, 0.000313113
1e-07, 71, 6.71564e-07, 2.12407e-120, 9448.24, 5.68743e+26, 6.0777e-05, 0.000311428
1e-07, 72, 7.08412e-07, 4.19846e-122, 8748.7, 6.01468e+26, 6.30587e-05, 0.000344211
1e-07, 73, 7.49373e-07, 8.2901e-124, 8109.55, 6.35586e+26, 6.53931e-05, 0.000342127
1e-07, 74, 7.85392e-07, 1.63527e-125, 7524.85, 6.71134e+26, 6.77809e-05, 0.000377403
1e-07, 75, 8.26585e-07, 3.22247e-127, 6989.33, 7.08154e+26, 7.02224e-05, 0.000374883
1e-07, 76, 8.68356e-07, 6.34412e-129, 6498.27, 7.46684e+26, 7.27181e-05, 0.000412764
1e-07, 77, 9.12137e-07, 1.24781e-130, 6047.47, 7.86766e+26, 7.52686e-05, 0.000409773
1e-07, 78, 9.57407e-07, 2.45205e-132, 5633.17, 8.2844e+26, 7.78742e-05, 0.000450372
1e-07, 79, 1.0085e-06, 4.81419e-134, 5251.99, 8.71748e+26, 8.05355e-05, 0.000446872
1e-07, 80, 1.05578e-06, 9.44368e-136, 4900.93, 9.16732e+26, 8.32529e-05, 0.000490303
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 82, 1.15645e-06, 3.62481e-139, 4278.56, 1.0119e+27, 8.88579e-05, 0.000532635
1e-07, 83, 1.20826e-06, 7.09297e-141, 4002.62, 1.06217e+27, 9.17464e-05, 0.000528
1e-07, 84, 1.2625e-06, 1.38685e-142, 3747.47, 1.11429e+27, 9.46929e-05, 0.000577445
1e-07, 85, 1.31967e-06, 2.70956e-144, 3511.32, 1.16831e+27, 9.76979e-05, 0.000572183
1e-07, 86, 1.37852e-06, 5.28983e-146, 3292.55, 1.22427e+27, 0.000100762, 0.000624812
1e-07, 87, 1.43877e-06, 1.03197e-147, 3089.72, 1.28221e+27, 0.000103885, 0.000618881
1e-07, 88, 1.50079e-06, 2.01178e-149, 2901.48, 1.34219e+27, 0.000107068, 0.000674812
1e-07, 89, 1.56383e-06, 3.91914e-151, 2726.65, 1.40424e+27, 0.000110311, 0.000668171
1e-07, 90, 1.62944e-06, 7.62964e-153, 2564.14, 1.46843e+27, 0.000113615, 0.000727526
1e-07, 91, 1.69734e-06, 1.48432e-154, 2412.95, 1.53479e+27, 0.00011698, 0.000720131
1e-07, 92, 1.77404e-06, 2.88579e-156, 2272.18, 1.60337e+27, 0.000120407, 0.000783031
1e-07, 93, 1.84185e-06, 5.60693e-158, 2141.01, 1.67423e+27, 0.000123896, 0.000774839
1e-07, 94, 1.91923e-06, 1.08871e-159, 2018.7, 1.74741e+27, 0.000127447, 0.000841406
1e-07, 95, 1.9911e-06, 2.11268e-161, 1904.57, 1.82296e+27, 0.000131061, 0.000832373
1e-07, 96, 2.06673e-06, 4.09727e-163, 1797.98, 1.90094e+27, 0.000134739, 0.000902732
1e-07, 97, 2.14581e-06, 7.94143e-165, 1698.37, 1.98139e+27, 0.00013848, 0.000892812
1e-07, 98, 2.22689e-06, 1.53834e-166, 1605.21, 2.06437e+27, 0.000142286, 0.000967086
1e-07, 99, 2.31016e-06, 2.97825e-168, 1518.04, 2.14993e+27, 0.000146156, 0.000956234
1e-07, 100, 2.39934e-06, 5.76275e-170, 1436.4, 2.23812e+27, 0.000150092, 0.00103455
1e-07, 101, 2.48246e-06, 1.11445e-171, 1359.91, 2.32899e+27, 0.000154093, 0.00102272
1e-07, 102, 2.57419e-06, 2.15409e-173, 1288.18, 2.42261e+27, 0.00015816, 0.0011052
1e-07, 103, 2.66734e-06, 4.16139e-175, 1220.88, 2.51902e+27, 0.000162294, 0.00109234
1e-07, 104, 2.76087e-06, 8.0351e-177, 1157.69, 2.61828e+27, 0.000166494, 0.00117912
1e-07, 105, 2.85695e-06, 1.55069e-178, 1098.34, 2.72044e+27, 0.000170762, 0.00116519
1.2045e-07, 5, 1.6735e-11, 1.00359e+07, 1.70655e+10, 8.00458e+21, 7.27884e-08, 5.64933e-08
1.2045e-07, 6, 3.6e-11, 4925.41, 6.26069e+09, 1.65983e+22, 1.12206e-07, 1.03334e-07
1.2045e-07, 7, 6.86908e-11, 2.29091, 2.68173e+09, 3.07504e+22, 1.62581e-07, 1.50996e-07
