# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 0.5, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 1.31594e-11, 3.97831e+16, 2.05555e+10, 4.66274e+21, 7.27884e-08, 3.81084e-08
1e-07, 6, 2.83149e-11, 1.24061e+15, 7.54103e+09, 9.66866e+21, 1.12206e-07, 8.39451e-08
1e-07, 7, 5.41028e-11, 3.432e+13, 3.23016e+09, 1.79124e+22, 1.62581e-07, 1.35502e-07
1e-07, 8, 9.48837e-11, 8.73313e+11, 1.54977e+09, 3.05577e+22, 2.24945e-07, 2.433e-07
1e-07, 9, 1.5537e-10, 2.10574e+10, 8.10829e+08, 4.89476e+22, 3.0029e-07, 3.30721e-07
1e-07, 10, 2.41821e-10, 4.91455e+08, 4.54217e+08, 7.46039e+22, 3.89572e-07, 5.25605e-07
1e-07, 11, 3.59641e-10, 1.11878e+07, 2.68908e+08, 1.09228e+23, 4.93714e-07, 6.49141e-07
1e-07, 12, 5.17411e-10, 250130, 1.66635e+08, 1.54699e+23, 6.13613e-07, 9.64904e-07
1e-07, 13, 7.23105e-10, 5509.98, 1.07294e+08, 2.13076e+23, 7.50139e-07, 1.1273e-06
1e-07, 14, 9.84607e-10, 119.848, 7.13772e+07, 2.86598e+23, 9.04142e-07, 1.60838e-06
1e-07, 15, 1.31222e-09, 2.57769, 4.88384e+07, 3.77682e+23, 1.07645e-06, 1.81105e-06
1e-07, 16, 1.71528e-09, 0.0548864, 3.42455e+07, 4.88924e+23, 1.26788e-06, 2.51053e-06
1e-07, 17, 2.20303e-09, 0.0011584, 2.45355e+07, 6.23099e+23, 1.47921e-06, 2.7509e-06
1e-07, 18, 2.79074e-09, 2.42266e-05, 1.7917e+07, 7.83162e+23, 1.71124e-06, 3.73005e-06
1e-07, 19, 3.49223e-09, 4.89326e-07, 1.33082e+07, 9.72245e+23, 1.96472e-06, 4.00077e-06
1e-07, 20, 4.31125e-09, 1.00668e-08, 1.00369e+07, 1.19366e+24, 2.2404e-06, 5.32935e-06
1e-07, 21, 5.2777e-09, 2.05989e-10, 7.67464e+06, 1.4509e+24, 2.53903e-06, 5.61791e-06
