# L1 = 1, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.1, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 3.521e-09, 6.71279e+16, 2.05557e+10, 9.32548e+21, 0.000727884, 0.000579818
1e-07, 6, 7.64597e-09, 2.44895e+14, 7.54112e+09, 1.93373e+22, 0.00112206, 0.00110607
1e-07, 7, 1.47111e-08, 8.46523e+11, 3.2302e+09, 3.58248e+22, 0.0016258, 0.001596
1e-07, 8, 2.59269e-08, 2.80997e+09, 1.5498e+09, 6.11155e+22, 0.00224945, 0.00267755
1e-07, 9, 4.27647e-08, 9.0324e+06, 8.10844e+08, 9.78952e+22, 0.0030029, 0.00348263
1e-07, 10, 6.69311e-08, 28292.6, 4.54227e+08, 1.49208e+23, 0.00389572, 0.00542969
1e-07, 11, 1.00331e-07, 86.7588, 2.68914e+08, 2.18455e+23, 0.00493714, 0.00660753
1e-07, 12, 1.45069e-07, 0.261382, 1.6664e+08, 3.09397e+23, 0.00613613, 0.00980458
1e-07, 13, 2.04151e-07, 0.000775821, 1.07297e+08, 4.26152e+23, 0.00750139, 0.0113831
1e-07, 14, 2.78395e-07, 2.19011e-06, 7.13795e+07, 5.73197e+23, 0.00904142, 0.016296
1e-07, 15, 3.72747e-07, 6.15964e-09, 4.88401e+07, 7.55364e+23, 0.0107645, 0.0182667
1e-07, 16, 4.90005e-07, 1.75428e-11, 3.42468e+07, 9.77848e+23, 0.0126788, 0.0254485
1e-07, 17, 6.3222e-07, 4.95369e-14, 2.45365e+07, 1.2462e+24, 0.0147921, 0.0277595
1e-07, 18, 8.05146e-07, 1.38836e-16, 1.79178e+07, 1.56632e+24, 0.0171124, 0.0378553
1e-07, 19, 1.01007e-06, 3.86743e-19, 1.33088e+07, 1.94449e+24, 0.0196472, 0.0404041
1e-07, 20, 1.25433e-06, 1.0856e-21, 1.00374e+07, 2.38732e+24, 0.022404, 0.0541562
1e-07, 21, 1.5383e-06, 3.97727e-24, 7.67503e+06, 2.90181e+24, 0.0253903, 0.0567836
1e-07, 22, 1.8694e-06, 7.39607e-26, 5.94242e+06, 3.49528e+24, 0.0286132, 0.0750362
1e-07, 23, 2.25262e-06, 4.18033e-27, 4.65357e+06, 4.17544e+24, 0.03208, 0.07752
1e-07, 24, 2.69111e-06, 2.5991e-28, 3.68238e+06, 4.95036e+24, 0.0357978, 0.101224
1e-07, 25, 3.19165e-06, 1.60921e-29, 2.94186e+06, 5.82843e+24, 0.0397733, 0.103273
1e-07, 26, 3.76055e-06, 9.88265e-31, 2.37105e+06, 6.81844e+24, 0.0440136, 0.13349
1e-07, 27, 4.40039e-06, 6.02261e-32, 1.92661e+06, 7.92951e+24, 0.0485254, 0.134738
1e-07, 28, 5.12173e-06, 3.64403e-33, 1.57735e+06, 9.17114e+24, 0.0533153, 0.172648
1e-07, 29, 5.92622e-06, 2.19016e-34, 1.30049e+06, 1.05532e+25, 0.0583901, 0.172647
1e-07, 30, 6.82175e-06, 1.30817e-35, 1.07927e+06, 1.20858e+25, 0.0637562, 0.219548
1e-07, 31, 7.8155e-06, 7.76808e-37, 901179, 1.37796e+25, 0.0694201, 0.217768
1e-07, 32, 8.91548e-06, 4.58761e-38, 756792, 1.56456e+25, 0.0753882, 0.275084
1e-07, 33, 1.01265e-05, 2.69541e-39, 638964, 1.76949e+25, 0.0816668, 0.270901
1e-07, 34, 1.14606e-05, 1.57602e-40, 542214, 1.99392e+25, 0.0882622, 0.340184
1e-07, 35, 1.29217e-05, 9.17301e-42, 462308, 2.23905e+25, 0.0951806, 0.33288
1e-07, 36, 1.45113e-05, 5.31605e-43, 395953, 2.50612e+25, 0.102428, 0.415817
1e-07, 37, 1.62429e-05, 3.06827e-44, 340565, 2.79639e+25, 0.110011, 0.404571
1e-07, 38, 1.81361e-05, 1.76407e-45, 294104, 3.11118e+25, 0.117935, 0.502986
1e-07, 39, 2.01776e-05, 1.01052e-46, 254951, 3.45183e+25, 0.126206, 0.486875
1e-07, 40, 2.2389e-05, 5.76844e-48, 221811, 3.81972e+25, 0.134831, 0.602733
1e-07, 41, 2.47718e-05, 3.28194e-49, 193644, 4.21625e+25, 0.143814, 0.58072
1e-07, 42, 2.73439e-05, 1.86135e-50, 169608, 4.64289e+25, 0.153162, 0.716133
1e-07, 43, 3.01215e-05, 1.05249e-51, 149019, 5.10112e+25, 0.162881, 0.687068
1e-07, 44, 3.30893e-05, 5.9341e-53, 131320, 5.59245e+25, 0.172977, 0.844298
1e-07, 45, 3.62694e-05, 3.33655e-54, 116052, 6.11845e+25, 0.183454, 0.806912
1e-07, 46, 3.96752e-05, 1.8711e-55, 102838, 6.68071e+25, 0.194319, 0.988373
1e-07, 47, 4.33019e-05, 1.04665e-56, 91366.2, 7.28086e+25, 0.205578, 0.941273
1e-07, 48, 4.71917e-05, 5.84059e-58, 81376.4, 7.92057e+25, 0.217236, 1.14954
1e-07, 49, 5.13237e-05, 3.25166e-59, 72652.1, 8.60153e+25, 0.229298, 1.0912
1e-07, 50, 5.57176e-05, 1.80629e-60, 65012, 9.32548e+25, 0.24177, 1.32901
1e-07, 51, 6.03815e-05, 1.00124e-61, 58303.4, 1.00942e+26, 0.254657, 1.25778
1e-07, 52, 6.53378e-05, 5.53858e-63, 52397.8, 1.09095e+26, 0.267965, 1.52802
1e-07, 53, 7.0562e-05, 3.05772e-64, 47186.3, 1.17732e+26, 0.2817, 1.44212
1e-07, 54, 7.61389e-05, 1.68488e-65, 42576.4, 1.26872e+26, 0.295866, 1.74787
1e-07, 55, 8.19955e-05, 9.26709e-67, 38489.4, 1.36534e+26, 0.310469, 1.64535
1e-07, 56, 8.81908e-05, 5.088e-68, 34858.1, 1.46738e+26, 0.325514, 1.98985
1e-07, 57, 9.47009e-05, 2.78874e-69, 31624.8, 1.57504e+26, 0.341007, 1.86864
1e-07, 58, 0.000101815, 1.52599e-70, 28740, 1.68851e+26, 0.356953, 2.25531
1e-07, 59, 0.000109099, 8.33689e-72, 26161.1, 1.808e+26, 0.373356, 2.11319
1e-07, 60, 0.000116483, 4.54763e-73, 23851.3, 1.93373e+26, 0.390223, 2.54563
1e-07, 61, 0.000124484, 2.47696e-74, 21778.7, 2.06591e+26, 0.407558, 2.38022
1e-07, 62, 0.000132992, 1.34718e-75, 19915.6, 2.20474e+26, 0.425366, 2.86221
1e-07, 63, 0.000141675, 7.31684e-77, 18237.9, 2.35046e+26, 0.443652, 2.67097
1e-07, 64, 0.000150947, 3.96857e-78, 16724.8, 2.50329e+26, 0.462422, 3.20647
1e-07, 65, 0.000160622, 2.14968e-79, 15357.8, 2.66345e+26, 0.481681, 2.98672
1e-07, 66, 0.000170712, 1.16295e-80, 14120.9, 2.83118e+26, 0.501433, 3.5799
1e-07, 67, 0.000181784, 6.28363e-82, 13000, 3.0067e+26, 0.521683, 3.32876
1e-07, 68, 0.000192397, 3.39109e-83, 11982.8, 3.19027e+26, 0.542437, 3.98399
1e-07, 69, 0.000203942, 1.82795e-84, 11058.3, 3.38211e+26, 0.5637, 3.69844
1e-07, 70, 0.000215992, 9.84227e-86, 10216.9, 3.58248e+26, 0.585476, 4.42025
1e-07, 71, 0.000228511, 5.29358e-87, 9450.19, 3.79162e+26, 0.607769, 4.0971
1e-07, 72, 0.000241589, 2.84406e-88, 8750.53, 4.00979e+26, 0.630586, 4.89025
1e-07, 73, 0.000255307, 1.52643e-89, 8111.28, 4.23724e+26, 0.653931, 4.52611
1e-07, 74, 0.000269518, 8.18419e-91, 7526.48, 4.47423e+26, 0.677809, 5.39557
1e-07, 75, 0.000284233, 4.38375e-92, 6990.87, 4.72103e+26, 0.702224, 4.98689
1e-07, 76, 0.000299576, 2.34585e-93, 6499.73, 4.9779e+26, 0.727181, 5.93782
1e-07, 77, 0.000315427, 1.25415e-94, 6048.85, 5.24511e+26, 0.752686, 5.48087
1e-07, 78, 0.000331987, 6.69886e-96, 5634.47, 5.52293e+26, 0.778742, 6.51864
1e-07, 79, 0.000349144, 3.57493e-97, 5253.22, 5.81165e+26, 0.805355, 6.00949
1e-07, 80, 0.000366967, 1.90616e-98, 4902.09, 6.11155e+26, 0.832529, 7.13971
1e-07, 81, 0.000385514, 1.01551e-99, 4578.37, 6.4229e+26, 0.860268, 6.57425
1e-07, 82, 0.000404568, 5.40569e-101, 4279.6, 6.74601e+26, 0.888579, 7.80271
1e-07, 83, 0.000425961, 2.87521e-102, 4003.61, 7.08115e+26, 0.917464, 7.17663
1e-07, 84, 0.000446527, 1.52808e-103, 3748.41, 7.42863e+26, 0.946929, 8.50938
1e-07, 85, 0.000466245, 8.11503e-105, 3512.21, 7.78874e+26, 0.976979, 7.81818
1e-07, 86, 0.0004881, 4.30635e-106, 3293.4, 8.16179e+26, 1.00762, 9.26147
1e-07, 87, 0.000510804, 2.28355e-107, 3090.52, 8.54808e+26, 1.03885, 8.50045
1e-07, 88, 0.000534383, 1.21005e-108, 2902.25, 8.94792e+26, 1.07068, 10.0608
1e-07, 89, 0.000558507, 6.40751e-110, 2727.38, 9.36163e+26, 1.10311, 9.225
1e-07, 90, 0.00058365, 3.39063e-111, 2564.83, 9.78952e+26, 1.13615, 10.9091
1e-07, 91, 0.000609485, 1.793e-112, 2413.61, 1.02319e+27, 1.1698, 9.99345
1e-07, 92, 0.000636161, 9.4754e-114, 2272.81, 1.06891e+27, 1.20407, 11.8082
1e-07, 93, 0.000663623, 5.00422e-115, 2141.62, 1.11615e+27, 1.23896, 10.8074
1e-07, 94, 0.000692621, 2.64121e-116, 2019.28, 1.16494e+27, 1.27447, 12.76
1e-07, 95, 0.000720986, 1.39317e-117, 1905.12, 1.21531e+27, 1.31061, 11.6685
1e-07, 96, 0.000751291, 7.34419e-119, 1798.5, 1.26729e+27, 1.34739, 13.7665
1e-07, 97, 0.000782242, 3.86927e-120, 1698.87, 1.32093e+27, 1.3848, 12.5785
1e-07, 98, 0.000814044, 2.03734e-121, 1605.7, 1.37624e+27, 1.42286, 14.8294
1e-07, 99, 0.000846804, 1.07214e-122, 1518.5, 1.43328e+27, 1.46156, 13.539
1e-07, 100, 0.000880629, 5.63899e-124, 1436.85, 1.49208e+27, 1.50092, 15.9508
1e-07, 101, 0.000918555, 2.96425e-125, 1360.33, 1.55266e+27, 1.54093, 14.5518
1e-07, 102, 0.000951078, 1.55739e-126, 1288.58, 1.61507e+27, 1.5816, 17.1326
1e-07, 103, 0.000988058, 8.17814e-128, 1221.27, 1.67935e+27, 1.62294, 15.6185
1e-07, 104, 0.00102584, 4.29229e-129, 1158.07, 1.74552e+27, 1.66494, 18.3768
1e-07, 105, 0.0010656, 2.25167e-130, 1098.7, 1.81363e+27, 1.70762, 16.741
1.2045e-07, 5, 4.48182e-09, 4.62669e+16, 1.70657e+10, 5.33639e+21, 0.000727884, 0.000579789
1.2045e-07, 6, 9.70756e-09, 1.68757e+14, 6.26076e+09, 1.10655e+22, 0.00112206, 0.00110596
1.2045e-07, 7, 1.86777e-08, 5.83476e+11, 2.68176e+09, 2.05003e+22, 0.0016258, 0.00159589
1.2045e-07, 8, 3.29504e-08, 1.93681e+09, 1.28667e+09, 3.49725e+22, 0.00224945, 0.0026772
1.2045e-07, 9, 5.43396e-08, 6.22562e+06, 6.73175e+08, 5.60192e+22, 0.0030029, 0.0034823
1.2045e-07, 10, 8.49676e-08, 19500.7, 3.77105e+08, 8.53822e+22, 0.00389572, 0.00542881
1.2045e-07, 11, 1.27135e-07, 59.8001, 2.23256e+08, 1.25008e+23, 0.00493714, 0.00660679
1.2045e-07, 12, 1.84018e-07, 0.180157, 1.38346e+08, 1.77048e+23, 0.00613613, 0.00980272
1.2045e-07, 13, 2.58222e-07, 0.00053472, 8.90794e+07, 2.4386e+23, 0.00750139, 0.0113816
1.2045e-07, 14, 3.53068e-07, 1.55963e-06, 5.92601e+07, 3.28004e+23, 0.00904142, 0.0162925
1.2045e-07, 15, 4.72546e-07, 4.2456e-09, 4.05477e+07, 4.32247e+23, 0.0107645, 0.018264
1.2045e-07, 16, 6.2123e-07, 1.20915e-11, 2.84321e+07, 5.59561e+23, 0.0126788, 0.0254423
1.2045e-07, 17, 8.01277e-07, 3.41439e-14, 2.03705e+07, 7.1312e+23, 0.0147921, 0.0277549
1.2045e-07, 18, 1.0197e-06, 9.56965e-17, 1.48755e+07, 8.96308e+23, 0.0171124, 0.0378451
1.2045e-07, 19, 1.27971e-06, 2.66693e-19, 1.10491e+07, 1.11271e+24, 0.0196472, 0.0403968
1.2045e-07, 20, 1.58799e-06, 7.56507e-22, 8.33313e+06, 1.36611e+24, 0.022404, 0.0541403
1.2045e-07, 21, 1.94831e-06, 3.27368e-24, 6.37189e+06, 1.66052e+24, 0.0253903, 0.0567725
1.2045e-07, 22, 2.37022e-06, 8.49304e-26, 4.93345e+06, 2.00013e+24, 0.0286132, 0.0750124
1.2045e-07, 23, 2.85226e-06, 5.02388e-27, 3.86343e+06, 2.38934e+24, 0.03208, 0.0775036
1.2045e-07, 24, 3.41079e-06, 3.13032e-28, 3.05714e+06, 2.83278e+24, 0.0357978, 0.10119
1.2045e-07, 25, 4.04223e-06, 1.93829e-29, 2.44235e+06, 3.33524e+24, 0.0397733, 0.103249
1.2045e-07, 26, 4.75984e-06, 1.19037e-30, 1.96846e+06, 3.90176e+24, 0.0440136, 0.133442
1.2045e-07, 27, 5.57201e-06, 7.25426e-32, 1.59949e+06, 4.53756e+24, 0.0485254, 0.134706
1.2045e-07, 28, 6.48134e-06, 4.38924e-33, 1.30952e+06, 5.24807e+24, 0.0533153, 0.172581
1.2045e-07, 29, 7.49812e-06, 2.63806e-34, 1.07968e+06, 6.03892e+24, 0.0583901, 0.172604
1.2045e-07, 30, 8.63103e-06, 1.57569e-35, 896020, 6.91596e+24, 0.0637562, 0.219459
1.2045e-07, 31, 9.89104e-06, 9.35667e-37, 748163, 7.88522e+24, 0.0694201, 0.21771
1.2045e-07, 32, 1.12787e-05, 5.52579e-38, 628293, 8.95297e+24, 0.0753882, 0.274967
1.2045e-07, 33, 1.28135e-05, 3.24663e-39, 530471, 1.01257e+25, 0.0816668, 0.270825
1.2045e-07, 34, 1.44914e-05, 1.89832e-40, 450148, 1.14099e+25, 0.0882622, 0.340032
1.2045e-07, 35, 1.63377e-05, 1.10489e-41, 383810, 1.28127e+25, 0.0951806, 0.332782
1.2045e-07, 36, 1.83457e-05, 6.4032e-43, 328721, 1.43409e+25, 0.102428, 0.415622
1.2045e-07, 37, 2.0543e-05, 3.69574e-44, 282737, 1.6002e+25, 0.110011, 0.404448
1.2045e-07, 38, 2.29239e-05, 2.12483e-45, 244165, 1.78033e+25, 0.117935, 0.502741
1.2045e-07, 39, 2.55058e-05, 1.21718e-46, 211661, 1.97527e+25, 0.126206, 0.48672
1.2045e-07, 40, 2.8293e-05, 6.94811e-48, 184148, 2.18578e+25, 0.134831, 0.602428
1.2045e-07, 41, 3.13261e-05, 3.9531e-49, 160763, 2.4127e+25, 0.143814, 0.580528
1.2045e-07, 42, 3.45539e-05, 2.242e-50, 140808, 2.65683e+25, 0.153162, 0.715757
1.2045e-07, 43, 3.80544e-05, 1.26772e-51, 123715, 2.91905e+25, 0.162881, 0.686833
1.2045e-07, 44, 4.18037e-05, 7.14764e-53, 109021, 3.20021e+25, 0.172977, 0.843839
1.2045e-07, 45, 4.5846e-05, 4.01889e-54, 96346, 3.5012e+25, 0.183454, 0.806626
1.2045e-07, 46, 5.01187e-05, 2.25375e-55, 85376, 3.82295e+25, 0.194319, 0.987818
1.2045e-07, 47, 5.47225e-05, 1.26069e-56, 75852, 4.16638e+25, 0.205578, 0.940928
1.2045e-07, 48, 5.95869e-05, 7.03501e-58, 67558.4, 4.53244e+25, 0.217236, 1.14887
1.2045e-07, 49, 6.48118e-05, 3.91663e-59, 60315.6, 4.92211e+25, 0.229298, 1.09079
1.2045e-07, 50, 7.03542e-05, 2.17568e-60, 53972.7, 5.33639e+25, 0.24177, 1.32821
1.2045e-07, 51, 7.62504e-05, 1.206e-61, 48403.2, 5.77628e+25, 0.254657, 1.25729
1.2045e-07, 52, 8.24832e-05, 6.67124e-63, 43500.4, 6.24282e+25, 0.267965, 1.52708
1.2045e-07, 53, 8.91115e-05, 3.68304e-64, 39173.8, 6.73706e+25, 0.2817, 1.44154
1.2045e-07, 54, 9.6094e-05, 2.02945e-65, 35346.7, 7.26009e+25, 0.295866, 1.74676
1.2045e-07, 55, 0.00010349, 1.11622e-66, 31953.7, 7.813e+25, 0.310469, 1.64467
1.2045e-07, 56, 0.000111296, 6.12852e-68, 28938.9, 8.39691e+25, 0.325514, 1.98856
1.2045e-07, 57, 0.000119502, 3.35905e-69, 26254.7, 9.01294e+25, 0.341007, 1.86785
1.2045e-07, 58, 0.000128208, 1.83807e-70, 23859.7, 9.66227e+25, 0.356953, 2.25381
1.2045e-07, 59, 0.00013734, 1.00418e-71, 21718.7, 1.03461e+26, 0.373356, 2.11228
1.2045e-07, 60, 0.000146943, 5.47764e-73, 19801.1, 1.10655e+26, 0.390223, 2.54389
1.2045e-07, 61, 0.00015699, 2.9835e-74, 18080.4, 1.18219e+26, 0.407558, 2.37916
1.2045e-07, 62, 0.000167632, 1.62268e-75, 16533.7, 1.26164e+26, 0.425366, 2.8602
1.2045e-07, 63, 0.000178827, 8.81316e-77, 15140.9, 1.34502e+26, 0.443652, 2.66975
1.2045e-07, 64, 0.000190362, 4.78015e-78, 13884.7, 1.43248e+26, 0.462422, 3.20418
1.2045e-07, 65, 0.0002025, 2.5893e-79, 12749.9, 1.52413e+26, 0.481681, 2.98533
1.2045e-07, 66, 0.000215448, 1.40078e-80, 11723, 1.6201e+26, 0.501433, 3.57728
1.2045e-07, 67, 0.000228629, 7.56866e-82, 10792.4, 1.72055e+26, 0.521683, 3.32718
1.2045e-07, 68, 0.000242558, 4.08459e-83, 9947.95, 1.82559e+26, 0.542437, 3.98101
1.2045e-07, 69, 0.000257229, 2.20177e-84, 9180.45, 1.93537e+26, 0.5637, 3.69664
1.2045e-07, 70, 0.000272255, 1.1855e-85, 8481.96, 2.05003e+26, 0.585476, 4.41688
1.2045e-07, 71, 0.000287996, 6.37613e-87, 7845.41, 2.1697e+26, 0.607769, 4.09506
1.2045e-07, 72, 0.000304547, 3.42568e-88, 7264.56, 2.29455e+26, 0.630586, 4.88644
1.2045e-07, 73, 0.000322835, 1.83859e-89, 6733.85, 2.4247e+26, 0.653931, 4.52382
1.2045e-07, 74, 0.00033955, 9.85789e-91, 6248.36, 2.56032e+26, 0.677809, 5.39128
1.2045e-07, 75, 0.000358122, 5.28025e-92, 5803.7, 2.70155e+26, 0.702224, 4.98432
1.2045e-07, 76, 0.000378728, 2.82558e-93, 5395.96, 2.84853e+26, 0.727181, 5.93301
1.2045e-07, 77, 0.000397468, 1.51062e-94, 5021.64, 3.00144e+26, 0.752686, 5.47799
1.2045e-07, 78, 0.00041816, 8.0688e-96, 4677.63, 3.16043e+26, 0.778742, 6.51326
1.2045e-07, 79, 0.00043988, 4.30602e-97, 4361.12, 3.32564e+26, 0.805355, 6.00628
1.2045e-07, 80, 0.000462172, 2.29598e-98, 4069.62, 3.49725e+26, 0.832529, 7.1337
1.2045e-07, 81, 0.000485806, 1.22318e-99, 3800.87, 3.67542e+26, 0.860268, 6.57066
1.2045e-07, 82, 0.000509401, 6.51117e-101, 3552.84, 3.86031e+26, 0.888579, 7.79604
1.2045e-07, 83, 0.000535337, 3.46319e-102, 3323.71, 4.05209e+26, 0.917464, 7.17265
1.2045e-07, 84, 0.000560142, 1.84058e-103, 3111.85, 4.25093e+26, 0.946929, 8.50198
1.2045e-07, 85, 0.000586959, 9.77458e-105, 2915.76, 4.457e+26, 0.976979, 7.81377
1.2045e-07, 86, 0.000614414, 5.18701e-106, 2734.11, 4.67047e+26, 1.00762, 9.25328
1.2045e-07, 87, 0.000642942, 2.75055e-107, 2565.68, 4.89152e+26, 1.03885, 8.49557
1.2045e-07, 88, 0.000672441, 1.4575e-108, 2409.38, 5.12033e+26, 1.07068, 10.0517
1.2045e-07, 89, 0.000702864, 7.71787e-110, 2264.21, 5.35707e+26, 1.10311, 9.21962
1.2045e-07, 90, 0.000734483, 4.08402e-111, 2129.26, 5.60192e+26, 1.13615, 10.8991
1.2045e-07, 91, 0.000766935, 2.15968e-112, 2003.72, 5.85508e+26, 1.1698, 9.98753
1.2045e-07, 92, 0.000800456, 1.14132e-113, 1886.83, 6.11672e+26, 1.20407, 11.7972
1.2045e-07, 93, 0.000835468, 6.0276e-115, 1777.91, 6.38703e+26, 1.23896, 10.8009
1.2045e-07, 94, 0.000870569, 3.18135e-116, 1676.35, 6.6662e+26, 1.27447, 12.748
1.2045e-07, 95, 0.000908201, 1.67808e-117, 1581.58, 6.95443e+26, 1.31061, 11.6614
1.2045e-07, 96, 0.000944794, 8.8461e-119, 1493.07, 7.2519e+26, 1.34739, 13.7533
