# L1 = 1, c = 1, a = 1, mu_eta = 0.5, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 1.18312e-10, 6.62784e+11, 1.6059e+08, 9.32548e+21, 7.27884e-08, 5.42403e-08
1e-07, 6, 2.48487e-10, 2.43891e+09, 5.89144e+07, 1.93373e+22, 1.12206e-07, 1.03146e-07
1e-07, 7, 4.6278e-10, 8.47998e+06, 2.52356e+07, 3.58248e+22, 1.62581e-07, 1.50595e-07
1e-07, 8, 7.94457e-10, 28253, 1.21076e+07, 6.11155e+22, 2.24945e-07, 2.50497e-07
1e-07, 9, 1.27423e-09, 91.0477, 6.33461e+06, 9.78952e+22, 3.0029e-07, 3.29771e-07
1e-07, 10, 1.94432e-09, 0.28573, 3.54858e+06, 1.49208e+23, 3.89572e-07, 5.07883e-07
1e-07, 11, 2.84259e-09, 0.000877369, 2.10085e+06, 2.18455e+23, 4.93714e-07, 6.26273e-07
1e-07, 12, 4.01574e-09, 2.53301e-06, 1.30184e+06, 3.09397e+23, 6.13613e-07, 9.15417e-07
1e-07, 13, 5.51159e-09, 7.17566e-09, 838236, 4.26152e+23, 7.50139e-07, 1.07846e-06
1e-07, 14, 7.39062e-09, 2.09868e-11, 557636, 5.73197e+23, 9.04142e-07, 1.51737e-06
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 16, 1.24698e-08, 1.73701e-16, 267544, 9.77848e+23, 1.26788e-06, 2.36198e-06
1e-07, 17, 1.5796e-08, 4.92681e-19, 191684, 1.2462e+24, 1.47921e-06, 2.62234e-06
1e-07, 18, 1.97345e-08, 1.38949e-21, 139977, 1.56632e+24, 1.71124e-06, 3.50125e-06
1e-07, 19, 2.43422e-08, 4.11227e-24, 103971, 1.94449e+24, 1.96472e-06, 3.80911e-06
1e-07, 20, 2.96372e-08, 2.65599e-26, 78413.6, 2.38732e+24, 2.2404e-06, 4.99065e-06
1e-07, 21, 3.57424e-08, 1.05114e-27, 59958.5, 2.90181e+24, 2.53903e-06, 5.34134e-06
1e-07, 22, 4.26692e-08, 6.52686e-29, 46422.9, 3.49528e+24, 2.86132e-06, 6.889e-06
1e-07, 23, 5.05626e-08, 4.11569e-30, 36354.2, 4.17544e+24, 3.208e-06, 7.2746e-06
1e-07, 24, 5.94212e-08, 2.57278e-31, 28767.1, 4.95036e+24, 3.57977e-06, 9.25821e-06
1e-07, 25, 6.93104e-08, 1.59386e-32, 22982, 5.82843e+24, 3.97733e-06, 9.66737e-06
1e-07, 26, 8.03319e-08, 9.79193e-34, 18522.7, 6.81844e+24, 4.40136e-06, 1.21632e-05
1e-07, 27, 9.25195e-08, 5.96927e-35, 15050.7, 7.92951e+24, 4.85254e-06, 1.25809e-05
1e-07, 28, 1.05902e-07, 3.61285e-36, 12322.2, 9.17114e+24, 5.33154e-06, 1.56717e-05
1e-07, 29, 1.20724e-07, 2.17204e-37, 10159.4, 1.05532e+25, 5.83901e-06, 1.60792e-05
1e-07, 30, 1.36762e-07, 1.29768e-38, 8431.26, 1.20858e+25, 6.37562e-06, 1.98543e-05
1e-07, 31, 1.54415e-07, 7.70775e-40, 7039.96, 1.37796e+25, 6.94201e-06, 2.02289e-05
1e-07, 32, 1.73451e-07, 4.55305e-41, 5912.01, 1.56456e+25, 7.53882e-06, 2.47839e-05
1e-07, 33, 1.94111e-07, 2.6757e-42, 4991.53, 1.76949e+25, 8.16668e-06, 2.50988e-05
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 35, 2.40213e-07, 9.10959e-45, 3611.49, 2.23905e+25, 9.51806e-06, 3.07605e-05
1e-07, 36, 2.65915e-07, 5.28028e-46, 3093.12, 2.50612e+25, 1.02428e-05, 3.71892e-05
