LOG10_Z,LOG10_CS44,LOG10_CS66,LOG10_CS46
0.60206107706280998,-21.619778854486881,-22.611153352007605,-22.115142170641327
0.6048625578702993,-9.6421212936554497,-10.633219211132637,-10.137823476441648
0.60766403867778873,-8.5526160578160528,-9.5426151955068761,-9.0472599861521026
0.61046551948527805,-7.9001909399058192,-8.8893524274182685,-8.3947138557128884
0.61326700029276737,-7.425998611212151,-8.4154662662792443,-7.9210687312715207
0.6160684811002568,-7.0506079813446396,-8.0395373413990878,-7.5450599299883585
0.61886996190774612,-6.7371140232350468,-7.7260544898778463,-7.2317490619264442
0.62167144271523544,-6.4675372476296245,-7.4554120488494897,-6.9615993168979635
0.62447292352272488,-6.2285755923316568,-7.2158417727549367,-6.7224584544141059
0.6272744043302142,-6.0140183445168507,-7.0008799850869501,-6.5071984531504254
0.63007588513770352,-5.8177028240476591,-6.8042053402184752,-6.3111478969835861
0.63287736594519295,-5.6373834461375063,-6.6238811996009277,-6.1305436203259847
0.63567884675268227,-5.4699836024340938,-6.4560495216921669,-5.9631569652476282
0.63848032756017159,-5.313065893741002,-6.297929780466152,-5.8056619883733225
0.64128180836766102,-5.1652366696859247,-6.1500439938178388,-5.6576370549256412
0.64408328917515034,-5.0253434760444158,-6.0096920028554184,-5.5172099771795464
0.64688476998263977,-4.8916771149463658,-5.8762704674104675,-5.3839795573281144
0.64968625079012909,-4.7644360084793966,-5.7484673524318897,-5.2564269871504878
0.65248773159761841,-4.6429841219931127,-5.6267838656427118,-5.1345983110280509
0.65528921240510785,-4.5262112896080966,-5.5083052056326194,-5.0176029064892731
0.65809069321259717,-4.412982786282897,-5.3963559203051261,-4.9048653534395541
0.66089217402008649,-4.3046434621175189,-5.2866887503737505,-4.7960023854048464
0.66369365482757592,-4.1993258881868192,-5.1808396214601764,-4.6900095657573573
0.66649513563506524,-4.0971141103189179,-5.0781172178784848,-4.5882206419707288
0.66929661644255456,-3.9985862571056368,-4.979160481354941,-4.4886475580990908
0.67209809725004399,-3.9019144416542284,-4.8822577647274805,-4.3919494621950763
0.67489957805753331,-3.8077659822393115,-4.7879431251042881,-4.2979940988127501
0.67770105886502263,-3.7168294456806885,-4.6957329735131905,-4.2060788267759328
0.68050253967251206,-3.6272986635530531,-4.6056911042768016,-4.1163651554369762
0.68330402048000138,-3.539791084029912,-4.5181438991837473,-4.0290776794340575
0.6861055012874907,-3.453374600784898,-4.4327218889479951,-3.9431741191130976
0.68890698209498014,-3.3701455245856038,-4.3477414015532494,-3.8585996891951115
0.69170846290246946,-3.2874090585024796,-4.2655746402798389,-3.7766391034516071
0.69450994370995889,-3.2073610405625153,-4.1849634608638313,-3.6958571562966118
0.69731142451744821,-3.1282546445135844,-4.1046444664947801,-3.6160803396736432
0.70011290532493753,-3.0497093022302306,-4.0267449586510029,-3.5381600486071694
0.70291438613242696,-2.9735504620920996,-3.9495742114228514,-3.4620840109391731
0.70571586693991628,-2.8980478188727612,-3.874004239481772,-3.3856525621192746
0.7085173477474056,-2.8244901639974609,-3.7995774015070278,-3.3121888430940074
0.71131882855489503,-2.7509796686756962,-3.7264102859896351,-3.238819737377288
0.71412030936238435,-2.6793097177982226,-3.6537788183708626,-3.1663372814746471
0.71692179016987367,-2.6080010671144631,-3.5824488372859866,-3.095175622599545
0.71972327097736311,-2.5382136668961213,-3.5117541946067417,-3.0253039877853696
0.72252475178485243,-2.4691657658885195,-3.4423290230871841,-2.9548833047798828
0.72532623259234175,-2.4004083329239467,-3.3735451377455754,-2.8869378526467586
0.72812771339983118,-2.3331692905458885,-3.3058333257142127,-2.8191526954750152
0.7309291942073205,-2.2663846005801127,-3.238586081278072,-2.752767682726954
0.73373067501480982,-2.2003720950379329,-3.1720866784364983,-2.6863338808733195
0.73653215582229925,-2.1354267090744221,-3.106615852810743,-2.6210653167637599
0.73933363662978857,-2.0711950884556485,-3.0418172665131635,-2.5557970511941441
0.74213511743727789,-2.0070693966698321,-2.9772370635958039,-2.4922723648597569
0.74493659824476732,-1.9430998628025926,-2.9141030064035882,-2.4286303723982599
0.74773807905225664,-1.8811775651669325,-2.8511646141549951,-2.3659954481026131
0.75053955985974596,-1.818612805019405,-2.7885480000627139,-2.3036695754681848
0.7533410406672354,-1.7573470080995968,-2.7263786538847428,-2.2418369269821685
0.75614252147472472,-1.6964530057278671,-2.6650363999064672,-2.1810737333810604
0.75894400228221404,-1.6361054512313005,-2.6043025901662404,-2.1204760968674785
0.76174548308970347,-1.5763961215598161,-2.5442914173498599,-2.0604519570126434
0.76454696389719279,-1.5168114107373794,-2.4844702975919164,-2.0006772183410511
0.76734844470468211,-1.4577931403342952,-2.4250632434212487,-1.9414229557834672
0.77014992551217154,-1.399329679256579,-2.3657576335941837,-1.8829421602837968
0.77295140631966086,-1.3411899660229007,-2.307628456884482,-1.8247798635393524
0.77575288712715018,-1.2836756391184549,-2.2495680686671924,-1.7670807603031446
0.77855436793463961,-1.2263081783963921,-2.1922687177585471,-1.7091753051781051
0.78135584874212893,-1.1698095104683597,-2.1346828244953264,-1.6523180047962085
0.78415732954961825,-1.1128286658794719,-2.0783086331451508,-1.5961321110440301
0.78695881035710769,-1.0569407855125201,-2.0218391404382827,-1.5400315330161012
0.78976029116459701,-1.0018262607785455,-1.9658322776548176,-1.4839891805582022
0.79256177197208644,-0.94605334937039864,-1.9099570536882733,-1.4287599663121888
0.79536325277957576,-0.89111149826704306,-1.8545065433064514,-1.3735947487261275
0.79816473358706508,-0.8369693048315785,-1.7995460516579846,-1.3185458084045276
