# L1 = 0.5, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1e-07, 5, 2.88112e-11, 6.71272e+11, 5.13887e+09, 9.32548e+21, 7.27884e-08, 5.73115e-08
1e-07, 6, 6.16169e-11, 2.44895e+09, 1.88526e+09, 1.93373e+22, 1.12206e-07, 1.08178e-07
1e-07, 7, 1.1709e-10, 8.46615e+06, 8.07539e+08, 3.58248e+22, 1.62581e-07, 1.56985e-07
1e-07, 8, 2.04326e-10, 28100.9, 3.87443e+08, 6.11155e+22, 2.24945e-07, 2.59979e-07
1e-07, 9, 3.33089e-10, 90.3389, 2.02707e+08, 9.78952e+22, 3.0029e-07, 3.40939e-07
1e-07, 10, 5.15645e-10, 0.282965, 1.13554e+08, 1.49208e+23, 3.89572e-07, 5.23608e-07
1e-07, 11, 7.65133e-10, 0.00086781, 6.72269e+07, 2.18455e+23, 4.93714e-07, 6.43946e-07
1e-07, 12, 1.09616e-09, 2.54191e-06, 4.16588e+07, 3.09397e+23, 6.13613e-07, 9.39437e-07
1e-07, 13, 1.52711e-09, 7.35369e-09, 2.68235e+07, 4.26152e+23, 7.50139e-07, 1.10458e-06
1e-07, 14, 2.06981e-09, 2.1385e-11, 1.78443e+07, 5.73197e+23, 9.04142e-07, 1.55195e-06
1e-07, 15, 2.7487e-09, 6.14976e-14, 1.22096e+07, 7.55364e+23, 1.07645e-06, 1.76524e-06
1e-07, 16, 3.58385e-09, 1.75158e-16, 8.56138e+06, 9.77848e+23, 1.26788e-06, 2.4096e-06
1e-07, 17, 4.58772e-09, 4.94709e-19, 6.13387e+06, 1.2462e+24, 1.47921e-06, 2.67192e-06
1e-07, 18, 5.79915e-09, 1.3903e-21, 4.47925e+06, 1.56632e+24, 1.71124e-06, 3.56457e-06
1e-07, 19, 7.23334e-09, 4.10602e-24, 3.32705e+06, 1.94449e+24, 1.96472e-06, 3.87407e-06
1e-07, 20, 8.90153e-09, 2.66971e-26, 2.50922e+06, 2.38732e+24, 2.2404e-06, 5.07253e-06
1e-07, 21, 1.08517e-08, 1.06255e-27, 1.91866e+06, 2.90181e+24, 2.53903e-06, 5.42433e-06
1e-07, 22, 1.31047e-08, 6.59762e-29, 1.48552e+06, 3.49528e+24, 2.86132e-06, 6.99247e-06
1e-07, 23, 1.56748e-08, 4.15855e-30, 1.16333e+06, 4.17544e+24, 3.208e-06, 7.37843e-06
1e-07, 24, 1.86111e-08, 2.59851e-31, 920541, 4.95036e+24, 3.57977e-06, 9.38648e-06
