# L1 = 1.5, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
nan, nan, nan, nan, nan, nan, nan, nan
1e-07, 57, 1.96673e-07, 2.78874e-72, 71144.4, 1.57504e+26, 3.41007e-05, 0.00016891
1e-07, 58, 2.10263e-07, 1.52599e-73, 64654.4, 1.68851e+26, 3.56953e-05, 0.000195473
1e-07, 59, 2.24861e-07, 8.33689e-75, 58852.7, 1.808e+26, 3.73356e-05, 0.000190508
1e-07, 60, 2.40837e-07, 4.54763e-76, 53656.3, 1.93373e+26, 3.90223e-05, 0.000219895
1e-07, 61, 2.56615e-07, 2.47696e-77, 48993.5, 2.06591e+26, 4.07558e-05, 0.000214018
1e-07, 62, 2.73429e-07, 1.34718e-78, 44802.1, 2.20474e+26, 4.25366e-05, 0.000246423
1e-07, 63, 2.90631e-07, 7.31684e-80, 41028, 2.35046e+26, 4.43652e-05, 0.000239537
1e-07, 64, 3.09331e-07, 3.96857e-81, 37623.9, 2.50329e+26, 4.62422e-05, 0.000275161
1e-07, 65, 3.28328e-07, 2.14968e-82, 34548.6, 2.66345e+26, 4.81681e-05, 0.000267166
1e-07, 66, 3.48259e-07, 1.16295e-83, 31766, 2.83118e+26, 5.01433e-05, 0.000306217
1e-07, 67, 3.69489e-07, 6.28363e-85, 29244.4, 3.0067e+26, 5.21683e-05, 0.000297006
1e-07, 68, 3.91205e-07, 3.39109e-86, 26956, 3.19027e+26, 5.42437e-05, 0.000339697
1e-07, 69, 4.13814e-07, 1.82795e-87, 24876.2, 3.38211e+26, 5.637e-05, 0.000329159
1e-07, 70, 4.37464e-07, 9.84226e-89, 22983.4, 3.58248e+26, 5.85476e-05, 0.000375711
1e-07, 71, 4.62082e-07, 5.29358e-90, 21258.5, 3.79162e+26, 6.0777e-05, 0.00036373
1e-07, 72, 4.87946e-07, 2.84406e-91, 19684.6, 4.00979e+26, 6.30587e-05, 0.000414369
1e-07, 73, 5.14256e-07, 1.52643e-92, 18246.5, 4.23724e+26, 6.53931e-05, 0.000400824
1e-07, 74, 5.42046e-07, 8.18419e-94, 16930.9, 4.47423e+26, 6.77809e-05, 0.000455783
1e-07, 75, 5.70971e-07, 4.38375e-95, 15726, 4.72103e+26, 7.02224e-05, 0.000440548
1e-07, 76, 6.0026e-07, 2.34585e-96, 14621.1, 4.9779e+26, 7.27181e-05, 0.000500067
1e-07, 77, 6.31347e-07, 1.25415e-97, 13606.8, 5.24511e+26, 7.52686e-05, 0.000483012
1e-07, 78, 6.63285e-07, 6.69886e-99, 12674.6, 5.52293e+26, 7.78742e-05, 0.000547334
1e-07, 79, 6.96013e-07, 3.57493e-100, 11817, 5.81165e+26, 8.05355e-05, 0.000528323
1e-07, 80, 7.33708e-07, 1.90616e-101, 11027.1, 6.11155e+26, 8.32529e-05, 0.000597702
1e-07, 81, 7.6831e-07, 1.01551e-102, 10298.8, 6.4229e+26, 8.60268e-05, 0.000576595
1e-07, 82, 8.04892e-07, 5.40569e-104, 9626.76, 6.74601e+26, 8.88579e-05, 0.000651286
1e-07, 83, 8.40761e-07, 2.8752e-105, 9005.9, 7.08115e+26, 9.17464e-05, 0.000627937
1e-07, 84, 8.79373e-07, 1.52808e-106, 8431.8, 7.42863e+26, 9.46929e-05, 0.000708206
1e-07, 85, 9.19144e-07, 8.11503e-108, 7900.46, 7.78874e+26, 9.76979e-05, 0.000682465
1e-07, 86, 9.60688e-07, 4.30635e-109, 7408.25, 8.16179e+26, 0.000100762, 0.000768581
1e-07, 87, 1.00357e-06, 2.28355e-110, 6951.86, 8.54808e+26, 0.000103885, 0.000740293
